parent_reference,world_loot_level,bracket,pool_id,synthetic_item_key,chance,group_id
1000052,52,40-59,3000002,2001000052,2.0,0
1000053,53,40-59,3000002,2001000053,2.0,0
1000054,54,40-59,3000002,2001000054,2.0,0
1000055,55,40-59,3000002,2001000055,2.0,0
1000056,56,40-59,3000002,2001000056,2.0,0
1000057,57,40-59,3000002,2001000057,2.0,0
1000058,58,40-59,3000002,2001000058,2.0,0
1000059,59,40-59,3000002,2001000059,2.0,0
1000060,60,60-69,3000003,2001000060,2.0,0
1000061,61,60-69,3000003,2001000061,2.0,0
1000105,5,01-19,3000000,2001000105,2.0,0
1000106,6,01-19,3000000,2001000106,2.0,0
1000107,7,01-19,3000000,2001000107,2.0,0
1000108,8,01-19,3000000,2001000108,2.0,0
1000109,9,01-19,3000000,2001000109,2.0,0
1000110,10,01-19,3000000,2001000110,2.0,0
1000111,11,01-19,3000000,2001000111,2.0,0
1000112,12,01-19,3000000,2001000112,2.0,0
1000113,13,01-19,3000000,2001000113,2.0,0
1000114,14,01-19,3000000,2001000114,2.0,0
1000115,15,01-19,3000000,2001000115,2.0,0
1000116,16,01-19,3000000,2001000116,2.0,0
1000117,17,01-19,3000000,2001000117,2.0,0
1000118,18,01-19,3000000,2001000118,2.0,0
1000119,19,01-19,3000000,2001000119,2.0,0
1000120,20,20-39,3000001,2001000120,2.0,0
1000121,21,20-39,3000001,2001000121,2.0,0
1000122,22,20-39,3000001,2001000122,2.0,0
1000123,23,20-39,3000001,2001000123,2.0,0
1000124,24,20-39,3000001,2001000124,2.0,0
1000125,25,20-39,3000001,2001000125,2.0,0
1000126,26,20-39,3000001,2001000126,2.0,0
1000127,27,20-39,3000001,2001000127,2.0,0
1000128,28,20-39,3000001,2001000128,2.0,0
1000129,29,20-39,3000001,2001000129,2.0,0
1000130,30,20-39,3000001,2001000130,2.0,0
1000131,31,20-39,3000001,2001000131,2.0,0
1000132,32,20-39,3000001,2001000132,2.0,0
1000133,33,20-39,3000001,2001000133,2.0,0
1000134,34,20-39,3000001,2001000134,2.0,0
1000135,35,20-39,3000001,2001000135,2.0,0
1000136,36,20-39,3000001,2001000136,2.0,0
1000137,37,20-39,3000001,2001000137,2.0,0
1000138,38,20-39,3000001,2001000138,2.0,0
1000139,39,20-39,3000001,2001000139,2.0,0
1000140,40,40-59,3000002,2001000140,2.0,0
1000141,41,40-59,3000002,2001000141,2.0,0
1000142,42,40-59,3000002,2001000142,2.0,0
1000143,43,40-59,3000002,2001000143,2.0,0
1000144,44,40-59,3000002,2001000144,2.0,0
1000145,45,40-59,3000002,2001000145,2.0,0
1000146,46,40-59,3000002,2001000146,2.0,0
1000147,47,40-59,3000002,2001000147,2.0,0
1000148,48,40-59,3000002,2001000148,2.0,0
1000149,49,40-59,3000002,2001000149,2.0,0
1000150,50,40-59,3000002,2001000150,2.0,0
1000151,51,40-59,3000002,2001000151,2.0,0
1000152,52,40-59,3000002,2001000152,2.0,0
1000153,53,40-59,3000002,2001000153,2.0,0
1000154,54,40-59,3000002,2001000154,2.0,0
1000155,55,40-59,3000002,2001000155,2.0,0
1000156,56,40-59,3000002,2001000156,2.0,0
1000157,57,40-59,3000002,2001000157,2.0,0
1000158,58,40-59,3000002,2001000158,2.0,0
1000159,59,40-59,3000002,2001000159,2.0,0
1000160,60,60-69,3000003,2001000160,2.0,0
1000161,61,60-69,3000003,2001000161,2.0,0
1000162,62,60-69,3000003,2001000162,2.0,0
1000213,13,01-19,3000000,2001000213,2.0,0
1000214,14,01-19,3000000,2001000214,2.0,0
1000217,17,01-19,3000000,2001000217,2.0,0
1000218,18,01-19,3000000,2001000218,2.0,0
1000219,19,01-19,3000000,2001000219,2.0,0
1000220,20,20-39,3000001,2001000220,2.0,0
1000221,21,20-39,3000001,2001000221,2.0,0
1000222,22,20-39,3000001,2001000222,2.0,0
1000223,23,20-39,3000001,2001000223,2.0,0
1000225,25,20-39,3000001,2001000225,2.0,0
1000226,26,20-39,3000001,2001000226,2.0,0
1000227,27,20-39,3000001,2001000227,2.0,0
1000228,28,20-39,3000001,2001000228,2.0,0
1000233,33,20-39,3000001,2001000233,2.0,0
1000237,37,20-39,3000001,2001000237,2.0,0
1000238,38,20-39,3000001,2001000238,2.0,0
1000239,39,20-39,3000001,2001000239,2.0,0
1000240,40,40-59,3000002,2001000240,2.0,0
1000243,43,40-59,3000002,2001000243,2.0,0
1000244,44,40-59,3000002,2001000244,2.0,0
1000245,45,40-59,3000002,2001000245,2.0,0
1000246,46,40-59,3000002,2001000246,2.0,0
1000247,47,40-59,3000002,2001000247,2.0,0
1000248,48,40-59,3000002,2001000248,2.0,0
1000249,49,40-59,3000002,2001000249,2.0,0
1000250,50,40-59,3000002,2001000250,2.0,0
1000251,51,40-59,3000002,2001000251,2.0,0
1000252,52,40-59,3000002,2001000252,2.0,0
1000253,53,40-59,3000002,2001000253,2.0,0
1000254,54,40-59,3000002,2001000254,2.0,0
1000255,55,40-59,3000002,2001000255,2.0,0
1000256,56,40-59,3000002,2001000256,2.0,0
1000257,57,40-59,3000002,2001000257,2.0,0
1000258,58,40-59,3000002,2001000258,2.0,0
1000259,59,40-59,3000002,2001000259,2.0,0
1000260,60,60-69,3000003,2001000260,2.0,0
1000261,61,60-69,3000003,2001000261,2.0,0
1000262,62,60-69,3000003,2001000262,2.0,0
1000263,63,60-69,3000003,2001000263,2.0,0
1000313,13,01-19,3000000,2001000313,2.0,0
1000314,14,01-19,3000000,2001000314,2.0,0
1000315,15,01-19,3000000,2001000315,2.0,0
1000317,17,01-19,3000000,2001000317,2.0,0
1000318,18,01-19,3000000,2001000318,2.0,0
1000319,19,01-19,3000000,2001000319,2.0,0
1000320,20,20-39,3000001,2001000320,2.0,0
1000321,21,20-39,3000001,2001000321,2.0,0
1000322,22,20-39,3000001,2001000322,2.0,0
1000323,23,20-39,3000001,2001000323,2.0,0
1000324,24,20-39,3000001,2001000324,2.0,0
1000325,25,20-39,3000001,2001000325,2.0,0
1000326,26,20-39,3000001,2001000326,2.0,0
1000327,27,20-39,3000001,2001000327,2.0,0
1000328,28,20-39,3000001,2001000328,2.0,0
1000330,30,20-39,3000001,2001000330,2.0,0
1000331,31,20-39,3000001,2001000331,2.0,0
1000332,32,20-39,3000001,2001000332,2.0,0
1000333,33,20-39,3000001,2001000333,2.0,0
1000334,34,20-39,3000001,2001000334,2.0,0
1000335,35,20-39,3000001,2001000335,2.0,0
1000336,36,20-39,3000001,2001000336,2.0,0
1000337,37,20-39,3000001,2001000337,2.0,0
1000338,38,20-39,3000001,2001000338,2.0,0
1000339,39,20-39,3000001,2001000339,2.0,0
1000342,42,40-59,3000002,2001000342,2.0,0
1000343,43,40-59,3000002,2001000343,2.0,0
1000344,44,40-59,3000002,2001000344,2.0,0
1000345,45,40-59,3000002,2001000345,2.0,0
1000346,46,40-59,3000002,2001000346,2.0,0
1000347,47,40-59,3000002,2001000347,2.0,0
1000348,48,40-59,3000002,2001000348,2.0,0
1000349,49,40-59,3000002,2001000349,2.0,0
1000350,50,40-59,3000002,2001000350,2.0,0
1000351,51,40-59,3000002,2001000351,2.0,0
1000352,52,40-59,3000002,2001000352,2.0,0
1000353,53,40-59,3000002,2001000353,2.0,0
1000354,54,40-59,3000002,2001000354,2.0,0
1000355,55,40-59,3000002,2001000355,2.0,0
1000356,56,40-59,3000002,2001000356,2.0,0
1000357,57,40-59,3000002,2001000357,2.0,0
1000358,58,40-59,3000002,2001000358,2.0,0
1000359,59,40-59,3000002,2001000359,2.0,0
1000360,60,60-69,3000003,2001000360,2.0,0
1000361,61,60-69,3000003,2001000361,2.0,0
1000362,62,60-69,3000003,2001000362,2.0,0
1000363,63,60-69,3000003,2001000363,2.0,0
1100058,58,40-59,3000002,2001100058,2.0,0
1100059,59,40-59,3000002,2001100059,2.0,0
1100060,60,60-69,3000003,2001100060,2.0,0
1100061,61,60-69,3000003,2001100061,2.0,0
1100062,62,60-69,3000003,2001100062,2.0,0
1100063,63,60-69,3000003,2001100063,2.0,0
1100064,64,60-69,3000003,2001100064,2.0,0
1100065,65,60-69,3000003,2001100065,2.0,0
1100066,66,60-69,3000003,2001100066,2.0,0
1100067,67,60-69,3000003,2001100067,2.0,0
1100068,68,60-69,3000003,2001100068,2.0,0
1100069,69,60-69,3000003,2001100069,2.0,0
1100070,70,70-79,3000004,2001100070,2.0,0
1100071,71,70-79,3000004,2001100071,2.0,0
1100072,72,70-79,3000004,2001100072,2.0,0
1100158,58,40-59,3000002,2001100158,2.0,0
1100159,59,40-59,3000002,2001100159,2.0,0
1100160,60,60-69,3000003,2001100160,2.0,0
1100161,61,60-69,3000003,2001100161,2.0,0
1100162,62,60-69,3000003,2001100162,2.0,0
1100163,63,60-69,3000003,2001100163,2.0,0
1100164,64,60-69,3000003,2001100164,2.0,0
1100165,65,60-69,3000003,2001100165,2.0,0
1100166,66,60-69,3000003,2001100166,2.0,0
1100167,67,60-69,3000003,2001100167,2.0,0
1100168,68,60-69,3000003,2001100168,2.0,0
1100169,69,60-69,3000003,2001100169,2.0,0
1100170,70,70-79,3000004,2001100170,2.0,0
1100171,71,70-79,3000004,2001100171,2.0,0
1100172,72,70-79,3000004,2001100172,2.0,0
1100262,62,60-69,3000003,2001100262,2.0,0
1100263,63,60-69,3000003,2001100263,2.0,0
1100264,64,60-69,3000003,2001100264,2.0,0
1100265,65,60-69,3000003,2001100265,2.0,0
1100266,66,60-69,3000003,2001100266,2.0,0
1100267,67,60-69,3000003,2001100267,2.0,0
1100268,68,60-69,3000003,2001100268,2.0,0
1100269,69,60-69,3000003,2001100269,2.0,0
1100270,70,70-79,3000004,2001100270,2.0,0
1100271,71,70-79,3000004,2001100271,2.0,0
1100272,72,70-79,3000004,2001100272,2.0,0
1100360,60,60-69,3000003,2001100360,2.0,0
1100361,61,60-69,3000003,2001100361,2.0,0
1100362,62,60-69,3000003,2001100362,2.0,0
1100363,63,60-69,3000003,2001100363,2.0,0
1100364,64,60-69,3000003,2001100364,2.0,0
1100365,65,60-69,3000003,2001100365,2.0,0
1100366,66,60-69,3000003,2001100366,2.0,0
1100367,67,60-69,3000003,2001100367,2.0,0
1100368,68,60-69,3000003,2001100368,2.0,0
1100369,69,60-69,3000003,2001100369,2.0,0
1100370,70,70-79,3000004,2001100370,2.0,0
1100371,71,70-79,3000004,2001100371,2.0,0
1100372,72,70-79,3000004,2001100372,2.0,0
1200068,68,60-69,3000003,2001200068,2.0,0
1200069,69,60-69,3000003,2001200069,2.0,0
1200070,70,70-79,3000004,2001200070,2.0,0
1200071,71,70-79,3000004,2001200071,2.0,0
1200072,72,70-79,3000004,2001200072,2.0,0
1200073,73,70-79,3000004,2001200073,2.0,0
1200074,74,70-79,3000004,2001200074,2.0,0
1200075,75,70-79,3000004,2001200075,2.0,0
1200076,76,70-79,3000004,2001200076,2.0,0
1200077,77,70-79,3000004,2001200077,2.0,0
1200078,78,70-79,3000004,2001200078,2.0,0
1200079,79,70-79,3000004,2001200079,2.0,0
1200080,80,80,3000005,2001200080,2.0,0
1200081,81,80,3000005,2001200081,2.0,0
1200168,68,60-69,3000003,2001200168,2.0,0
1200169,69,60-69,3000003,2001200169,2.0,0
1200170,70,70-79,3000004,2001200170,2.0,0
1200171,71,70-79,3000004,2001200171,2.0,0
1200172,72,70-79,3000004,2001200172,2.0,0
1200173,73,70-79,3000004,2001200173,2.0,0
1200174,74,70-79,3000004,2001200174,2.0,0
1200175,75,70-79,3000004,2001200175,2.0,0
1200176,76,70-79,3000004,2001200176,2.0,0
1200177,77,70-79,3000004,2001200177,2.0,0
1200178,78,70-79,3000004,2001200178,2.0,0
1200179,79,70-79,3000004,2001200179,2.0,0
1200180,80,80,3000005,2001200180,2.0,0
1200181,81,80,3000005,2001200181,2.0,0
1200270,70,70-79,3000004,2001200270,2.0,0
1200271,71,70-79,3000004,2001200271,2.0,0
1200272,72,70-79,3000004,2001200272,2.0,0
1200273,73,70-79,3000004,2001200273,2.0,0
1200274,74,70-79,3000004,2001200274,2.0,0
1200275,75,70-79,3000004,2001200275,2.0,0
1200276,76,70-79,3000004,2001200276,2.0,0
1200277,77,70-79,3000004,2001200277,2.0,0
1200278,78,70-79,3000004,2001200278,2.0,0
1200279,79,70-79,3000004,2001200279,2.0,0
1200280,80,80,3000005,2001200280,2.0,0
1200281,81,80,3000005,2001200281,2.0,0
1200282,82,80,3000005,2001200282,2.0,0
1200369,69,60-69,3000003,2001200369,2.0,0
1200370,70,70-79,3000004,2001200370,2.0,0
1200371,71,70-79,3000004,2001200371,2.0,0
1200372,72,70-79,3000004,2001200372,2.0,0
1200373,73,70-79,3000004,2001200373,2.0,0
1200374,74,70-79,3000004,2001200374,2.0,0
1200375,75,70-79,3000004,2001200375,2.0,0
1200376,76,70-79,3000004,2001200376,2.0,0
1200377,77,70-79,3000004,2001200377,2.0,0
1200378,78,70-79,3000004,2001200378,2.0,0
1200379,79,70-79,3000004,2001200379,2.0,0
1200380,80,80,3000005,2001200380,2.0,0
1200381,81,80,3000005,2001200381,2.0,0
1200382,82,80,3000005,2001200382,2.0,0
