entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets,itemset,special_effect_feature,effect_source_entry,effect_source_spell,socketBonus,DisenchantID
200038,Warrior,Warlord's Skull,2,42,45,tank,trinket,,12,0,23727,12805,46,0,0.0,,0,,0,0,0,7
200039,Warrior,"Torque, Ebon Beacon",3,58,80,strength_dps,neck,,2,0,35373,22981,83,0,0.0,,0,,0,0,0,50
200040,Warrior,Battlehelm of Frozen Watch,3,80,200,tank,armor,,1,4,55312,44247,200,1146,0.0,,0,,0,0,0,54
200041,Warrior,Scarlet Templar's Frostveined War Leggings,3,42,43,strength_dps,armor,,7,4,21961,13074,46,215,0.0,,0,,0,0,0,45
200042,Warrior,"Warder Cloak, Unquiet Strike",3,66,115,tank,back,,16,1,43096,27878,115,59,0.0,,0,,0,0,0,52
200043,Warrior,Silver Fire Ring,2,78,191,tank,finger,,11,0,54488,43250,187,0,0.0,,0,,0,0,0,16
200044,Warrior,Wildguard's Warmarked Casque,2,23,26,tank,armor,,1,3,15288,7130,31,51,0.0,,0,,0,0,0,24
200045,Warrior,Wargrips of Lost Watch,2,1,2,strength_dps,armor,,10,3,6954,2391,5,2,0.0,,0,,0,0,0,1
200046,Warrior,The Mournbound War Leggings,3,17,22,tank,armor,,7,3,27013,14748,25,56,0.0,,0,,0,0,0,41
200047,Warrior,Voidcaller's Old Charm,3,56,59,strength_dps,neck,,2,0,4006,18023,59,0,0.0,,0,,0,0,0,48
200048,Warrior,Collar of Endless Road,2,61,92,strength_dps,neck,,2,0,38809,25062,93,0,0.0,,0,,0,0,0,13
200049,Warrior,Nightbound Greatblade,2,2,5,tank,2h_sword,2h_sword,17,8,20072,3188,15,0,2.969,,0,,0,0,0,1
200050,Warrior,The Golden Breastplate,3,74,156,strength_dps,armor,,5,4,54827,40672,167,1122,0.0,,0,,0,0,0,53
200051,Warrior,Goldbound Coif of Oculus,2,24,29,tank,armor,,1,3,15517,6389,31,56,0.0,,0,,0,0,0,24
200052,Warrior,Last Void Stone,3,55,58,strength_dps,trinket,,12,0,18725,11819,59,0,0.0,,0,,0,0,0,48
200053,Warrior,Armorsmith's Legmail of the Makers Terrace,2,29,36,strength_dps,armor,,7,3,4912,4741,37,84,0.0,,0,,0,0,0,6
200054,Warrior,"Wristguards, Green Memory",3,22,24,strength_dps,armor,,9,3,9378,5943,25,20,0.0,,0,,0,0,0,41
200055,Warrior,War Pauldrons of Silver Flame,3,65,107,strength_dps,armor,,3,4,42351,27739,115,456,0.0,,0,,0,0,0,52
200056,Warrior,Embersteel Slasher,2,23,30,strength_dps,1h_sword,1h_sword,13,7,26576,3186,30,0,15.185,,0,,0,0,0,4
200057,Warrior,Wildwarden's Kingsguard Armguards,2,39,41,tank,armor,,9,3,16516,8205,44,33,0.0,,0,,0,0,0,27
200058,Warrior,Heavenforged Gloves of Winter Court,3,14,16,tank,armor,,10,3,27000,15491,15,22,0.0,,0,,0,0,0,41
200059,Warrior,The Argent Chainmail,3,30,36,tank,armor,,5,3,19049,10328,39,112,0.0,,0,,0,0,0,44
200060,Warrior,Shadow Gaze Fingerband,2,70,133,tank,finger,,11,0,51275,38036,146,0,0.0,2,0,,0,0,2936,15
200061,Warrior,Bleak Warhelm of the Storm Banner,3,69,122,tank,armor,,1,4,48794,35404,115,634,0.0,,0,,0,0,0,52
200062,Warrior,Blood King's Greenwood Headguard,3,37,44,strength_dps,armor,,1,3,28662,13128,47,105,0.0,,0,,0,0,0,45
200063,Warrior,Deepforged Sollerets,2,53,55,tank,armor,,8,4,26354,10371,58,163,0.0,,0,,0,0,0,9
200064,Warrior,Rootwoven Grand Mace of the Endless Path,4,72,146,strength_dps,2h_mace,2h_mace,17,5,47742,33663,146,0,130.571,,0,,0,0,0,67
200065,Warrior,Nether Spirit Circle,2,5,9,tank,finger,,11,0,224,8350,15,0,0.0,,0,,0,0,0,21
200066,Warrior,Ironbound Cloak of Great Wolf,2,23,29,strength_dps,back,,16,1,23110,6667,27,11,0.0,,0,,0,0,0,24
200067,Warrior,"Coil, Ancient Ember",3,15,20,strength_dps,finger,,11,0,30661,20426,23,0,0.0,,0,,0,0,0,41
200068,Warrior,Nameless Warden's Faithful Treads,3,31,34,strength_dps,armor,,8,3,28383,10332,35,58,0.0,,0,,0,0,0,43
200069,Warrior,Anvilkeeper's Cuirass,2,69,121,strength_dps,armor,,5,4,44341,25024,120,713,0.0,,0,,0,0,0,14
200070,Warrior,Ironcaller's Ethereal Warshield,2,52,56,tank,shield,,14,6,27571,8320,57,1133,0.0,,0,,0,0,0,10
200071,Warrior,Hammer Rune Boots,2,32,33,tank,armor,,8,3,26030,7417,34,50,0.0,,0,,0,0,0,5
200072,Warrior,The Mournbound Iron Boots,3,71,133,strength_dps,armor,,8,4,51131,36300,134,537,0.0,,0,,0,0,0,53
200073,Warrior,Pale Carapace of Endless Path,2,66,112,strength_dps,armor,,5,4,43272,30959,114,669,0.0,,0,,0,0,0,14
200074,Warrior,Rune King's Coin of the Borean Tundra,2,71,140,strength_dps,trinket,,12,0,52820,37558,138,0,0.0,4,0,,0,0,2873,34
200075,Warrior,Darkkeeper's Great Hauberk,2,9,10,tank,armor,,5,3,13090,3471,10,22,0.0,,0,,0,0,0,21
200076,Warrior,Hearthwarden's Footguards,2,11,13,tank,armor,,8,3,35399,22993,15,18,0.0,,0,,0,0,0,21
200077,Warrior,Sunhallowed Legplates of the Quel Thalas,2,70,127,tank,armor,,7,4,51663,36304,134,687,0.0,,0,,0,0,0,15
200078,Warrior,Magebound Pavise of Silver Flame,2,24,31,tank,shield,,14,6,27084,15530,31,586,0.0,,0,,0,0,0,25
200079,Warrior,Watchful Neckchain of Dying Promise,2,41,47,tank,neck,,2,0,15421,7551,47,0,0.0,,0,,0,0,0,28
200080,Warrior,Warmaster's Vicious Breastplate,3,68,113,strength_dps,armor,,5,4,43039,28403,115,778,0.0,,0,,0,0,0,52
200081,Warrior,Flawless Figurine,3,23,25,strength_dps,trinket,,12,0,15150,7506,25,0,0.0,,0,,0,0,0,41
200082,Warrior,Clawmarked Vambraces of Spider Wing,4,80,232,tank,armor,,9,4,62001,47611,232,612,0.0,8,0,,0,0,2873,69
200083,Warrior,Battlemage's Manaforged Band,2,35,41,strength_dps,finger,,11,0,9849,11986,39,0,0.0,,0,,0,0,0,27
200084,Warrior,"Stonehewn Flask, Wildlord's Oath",2,12,14,strength_dps,trinket,,12,0,6485,2921,15,0,0.0,,0,,0,0,0,21
200085,Warrior,Armguards of Terokkar,3,28,34,strength_dps,armor,,9,3,27048,14759,34,31,0.0,,0,,0,0,0,43
200086,Warrior,The Earthwoven Gauntlets,2,61,93,strength_dps,armor,,10,4,37441,25478,93,265,0.0,,0,,0,0,0,13
200087,Warrior,Iron Mace of Argent Watch,3,25,28,tank,1h_mace,1h_mace,13,4,25623,13048,31,0,18.261,,0,,0,0,0,42
200088,Warrior,Carapace of Iron Oath,2,73,150,strength_dps,armor,,5,4,54824,40951,150,947,0.0,,0,,0,0,0,15
200089,Warrior,Tempered Hoop of Freya Garden,4,80,232,tank,finger,,11,0,59327,45871,226,0,0.0,2|8,0,,0,0,2871,69
200090,Warrior,Blood Queen's Chausses of the Great Forge,2,9,16,strength_dps,armor,,7,3,28250,2694,17,35,0.0,,0,,0,0,0,22
200091,Warrior,Spellbound Carapace,2,52,54,tank,armor,,5,4,27397,10203,52,282,0.0,,0,,0,0,0,9
200092,Warrior,"Fingerband, White Song",2,31,32,strength_dps,finger,,11,0,14436,1993,36,0,0.0,,0,,0,0,0,5
200093,Warrior,Drakekeeper's Snowforged War Leggings,3,30,35,tank,armor,,7,3,28437,13129,39,95,0.0,,0,,0,0,0,43
200094,Warrior,Clasp of the Blood Moon,2,53,57,tank,neck,,2,0,6502,13811,60,0,0.0,,0,,0,0,0,10
200095,Warrior,Duskwoven Treads,2,8,9,tank,armor,,8,3,26944,3302,15,12,0.0,,0,,0,0,0,21
200096,Warrior,Silent King's Saber of the Ancient Banner,2,52,55,strength_dps,1h_sword,1h_sword,13,7,26432,15705,57,0,32.0,,0,,0,0,0,9
200097,Warrior,The Runesteel Greatsword,2,15,19,tank,2h_sword,2h_sword,17,8,26585,3196,18,0,12.121,,0,,0,0,0,22
200098,Warrior,Rimecaller's Dreambound Wargrips,2,2,3,strength_dps,armor,,10,3,25756,6547,17,3,0.0,,0,,0,0,0,1
200099,Warrior,The Battleworn Rune Band,2,49,53,strength_dps,finger,,11,0,15422,7553,48,0,0.0,,0,,0,0,0,9
200100,Warrior,Runemaster's Earthwoven Badge,2,60,93,strength_dps,trinket,,12,0,30696,31617,102,0,0.0,,0,,0,0,0,13
200101,Warrior,Dire Greathelm of Arcane Eye,2,73,150,strength_dps,armor,,1,4,54813,39084,142,695,0.0,2,0,spell-effects,37513,47138,2936,15
200102,Warrior,Divine Hand Hammer of Soul Watch,3,59,83,strength_dps,1h_mace,1h_mace,13,4,38827,24384,88,0,38.269,,0,,0,0,0,50
200103,Warrior,Ravenbound Wrap of Rime Watch,3,76,168,strength_dps,back,,16,1,56697,41238,167,95,0.0,,0,,0,0,0,54
200104,Warrior,Dread Sabatons,2,71,138,strength_dps,armor,,8,4,51086,37468,138,495,0.0,,0,,0,0,0,34
200105,Warrior,"Armplates, Last Feather",3,45,48,strength_dps,armor,,3,4,28351,13066,51,174,0.0,,0,,0,0,0,46
200106,Warrior,"Battle Girdle, Grey Vow",2,50,53,strength_dps,armor,,6,4,22550,12406,50,140,0.0,,0,,0,0,0,9
200107,Warrior,Drakekeeper's Warboots,2,16,21,strength_dps,armor,,8,3,6885,6350,18,31,0.0,,0,,0,0,0,23
200108,Warrior,Breastplate of the High Watch,2,58,81,tank,armor,,5,4,40769,24936,87,447,0.0,,0,,0,0,0,13
200109,Warrior,Frostfire Piercer Epaulets,2,34,41,tank,armor,,3,3,6971,3765,40,72,0.0,,0,,0,0,0,27
200110,Warrior,Stonebound Coil,2,19,26,tank,finger,,11,0,16132,3739,25,0,0.0,,0,,0,0,0,4
200111,Warrior,Epaulets of the Arcane Watch,3,28,29,tank,armor,,3,3,28444,13131,29,53,0.0,,0,,0,0,0,42
200112,Warrior,Silverblessed Gauntlets,2,3,4,strength_dps,armor,,10,3,24564,13733,1,4,0.0,,0,,0,0,0,1
200113,Warrior,Warmaster's Capelet,3,63,100,strength_dps,back,,16,1,39277,28031,97,49,0.0,,0,,0,0,0,52
200114,Warrior,Seal of Crusaders Coliseum,2,9,12,strength_dps,finger,,11,0,224,8350,15,0,0.0,,0,,0,0,0,1
200115,Warrior,Dragonstalker's War Pauldrons,2,47,51,tank,armor,,3,4,28304,11889,50,175,0.0,,0,,0,0,0,9
200116,Warrior,Forgotten Keeper's Brooch,2,46,51,strength_dps,neck,,2,0,31604,21764,47,0,0.0,,0,,0,0,0,29
200117,Warrior,Frostscarred Gorget,2,76,172,strength_dps,neck,,2,0,52417,39793,158,0,0.0,,0,,0,0,0,16
200118,Warrior,Titanwarden's Necrotic Girdle,3,44,47,strength_dps,armor,,6,4,28364,13077,57,132,0.0,,0,,0,0,0,46
200119,Warrior,Stonefather's Spellscarred Visor,2,59,86,strength_dps,armor,,1,4,42217,27715,90,375,0.0,,0,,0,0,0,13
200120,Warrior,Wyrm King's Cryptborn Legguards,2,54,59,strength_dps,armor,,7,4,30671,18305,58,265,0.0,,0,,0,0,0,10
200121,Warrior,"Longcloak, Light Sun",3,76,177,strength_dps,back,,16,1,55000,43363,175,102,0.0,,0,,0,0,0,54
200122,Warrior,Grips of Titan Archive,3,37,44,strength_dps,armor,,10,3,28434,13126,53,69,0.0,,0,,0,0,0,45
200123,Warrior,Flawless Armguards of Green Flame,3,78,181,strength_dps,armor,,9,4,54075,41116,175,410,0.0,,0,,0,0,0,54
200124,Warrior,Boar Cry Shoulderguards,2,21,27,strength_dps,armor,,3,3,25806,6388,30,45,0.0,,0,,0,0,0,24
200125,Warrior,The Wolfmarked Great Cape,3,22,27,strength_dps,back,,16,1,23082,6314,27,11,0.0,,0,,0,0,0,42
200126,Warrior,"Woeful Charm, Pathfinder's Oath",2,44,45,tank,neck,,2,0,17918,9243,45,0,0.0,,0,,0,0,0,27
200127,Warrior,Breastplate of Hellfire Citadel,2,61,94,strength_dps,armor,,5,4,44424,31765,99,554,0.0,2,0,,0,0,0,13
200128,Warrior,Arcanist's Bright Collar,2,27,28,strength_dps,neck,,2,0,9857,12028,32,0,0.0,,0,,0,0,0,4
200129,Warrior,Dragonwarden's Warmarked Warcloak,3,64,105,strength_dps,back,,16,1,44633,31935,109,52,0.0,,0,,0,0,0,52
200130,Warrior,Cerulean Loop of Frozen Forge,2,77,175,strength_dps,finger,,11,0,56567,43874,174,0,0.0,4|2,0,,0,0,2892,16
200131,Warrior,Ashwarden's Legmail of the Death March,2,36,37,strength_dps,armor,,7,3,27050,14766,37,88,0.0,,0,,0,0,0,6
200132,Warrior,Duskwarden's Handplates,3,46,47,strength_dps,armor,,10,4,16124,7938,45,135,0.0,,0,,0,0,0,46
200133,Warrior,Crown Feather War Pauldrons,3,71,134,tank,armor,,3,4,51927,37783,138,613,0.0,,0,,0,0,0,53
200134,Warrior,Argent Knight's Chausses,2,11,13,tank,armor,,7,3,3058,6337,12,27,0.0,,0,,0,0,0,21
200135,Warrior,Titanguard's Helm of the Frostguard,4,80,239,strength_dps,armor,,1,4,59706,45472,239,1541,0.0,,0,,0,0,0,69
200136,Warrior,Warcaller's Frozen Mail,2,18,25,strength_dps,armor,,5,3,26990,15500,24,61,0.0,,0,,0,0,0,3
200137,Warrior,Grimlord's Handguards,3,30,33,strength_dps,armor,,10,3,18339,23170,35,48,0.0,,0,,0,0,0,43
200138,Warrior,Faithful Crusher of Avalanche,2,59,84,strength_dps,2h_mace,2h_mace,17,5,44768,25130,87,0,57.0,,0,,0,0,0,13
200139,Warrior,Highkeeper's Drakeforged Sabatons,3,71,134,tank,armor,,8,4,51131,36300,134,550,0.0,2|4,0,,0,0,2936,53
200140,Warrior,Furious Warbracers,4,75,170,strength_dps,armor,,9,4,56518,44038,174,414,0.0,,0,,0,0,0,67
200141,Warrior,"Skullcrusher, Wild Twilight",2,32,37,tank,1h_mace,1h_mace,13,4,19673,5256,35,0,19.63,,0,,0,0,0,26
200142,Warrior,Rootbound Harness of Emerald Path,2,35,41,strength_dps,armor,,5,3,9425,3845,40,112,0.0,,0,,0,0,0,27
200143,Warrior,The Frost-rimed War Reaver,4,80,245,strength_dps,2h_axe,2h_axe,17,1,60813,42319,245,0,260.857,2,0,,0,0,2927,68
200144,Warrior,Visor of Wild Path,2,46,48,strength_dps,armor,,1,4,27366,10090,46,184,0.0,,0,,0,0,0,8
200145,Warrior,Mist Hammer Warbracers,2,49,50,strength_dps,armor,,9,4,28343,10746,50,75,0.0,,0,,0,0,0,8
200146,Warrior,"Warder Cloak, Titan Memory",2,58,83,strength_dps,back,,16,1,44450,31768,90,35,0.0,,0,,0,0,0,13
200147,Warrior,Blacksteel Royal Cloak,4,79,189,strength_dps,back,,16,1,56738,43566,200,120,0.0,,0,,0,0,0,68
200148,Warrior,Rangemaster's Great Pauldrons,3,60,90,tank,armor,,3,4,43743,31247,88,372,0.0,,0,,0,0,0,50
200149,Warrior,Vengeful Vambraces of the Rime Crown,2,54,59,tank,armor,,9,4,26360,10391,60,91,0.0,,0,,0,0,0,10
200150,Warrior,Amulet of the Stone Fathers,2,11,16,strength_dps,neck,,2,0,34491,21933,22,0,0.0,,0,,0,0,0,22
200151,Warrior,Bracers of the Freya Garden,3,68,119,tank,armor,,9,4,44220,31582,115,253,0.0,,0,,0,0,0,52
200152,Warrior,Nightwatcher's Wyrmcarved Armguards,2,71,138,strength_dps,armor,,9,4,56321,37472,138,256,0.0,4|2,0,,0,0,2936,34
200153,Warrior,"Chestguard, Hallowed Rage",3,14,20,strength_dps,armor,,5,3,12632,6642,25,54,0.0,,0,,0,0,0,41
200154,Warrior,Greaves of the Blue Flight,4,80,271,strength_dps,armor,,8,4,64781,51816,264,1297,0.0,,0,on-use,52571,73961,0,68
200155,Warrior,Lost Keeper's Girdle of the Raven Spirit,3,23,25,strength_dps,armor,,6,3,52166,51978,25,36,0.0,,0,,0,0,0,41
200156,Warrior,Duskcaller's Circle,3,59,83,tank,finger,,11,0,39128,24078,83,0,0.0,,0,,0,0,0,50
200157,Warrior,"Thundersteel Legguards, Warwarden's Oath",2,71,138,tank,armor,,7,4,51090,35848,138,783,0.0,,0,,0,0,0,34
200158,Warrior,"Grips, Demon Echo",2,8,15,strength_dps,armor,,10,3,27000,15491,15,17,0.0,,0,,0,0,0,1
200159,Warrior,War Pauldrons of the Sunwell,2,57,62,strength_dps,armor,,3,4,26894,14981,62,217,0.0,,0,,0,0,0,11
200160,Warrior,Watchful Gloves,2,9,15,tank,armor,,10,3,25850,3472,12,18,0.0,,0,,0,0,0,21
200161,Warrior,Starbound War Leggings of the Dragonblight,2,2,3,strength_dps,armor,,7,3,3058,6337,12,6,0.0,,0,,0,0,0,1
200162,Warrior,"War Pauldrons, Emerald Star",2,54,56,strength_dps,armor,,3,4,27876,14860,56,185,0.0,,0,,0,0,0,10
200163,Warrior,Arcanist's Wildbound Warbelt,2,16,19,strength_dps,armor,,6,3,25852,2857,18,24,0.0,,0,,0,0,0,22
200164,Warrior,Stoneward Great Gauntlets of Violet Watch,3,61,93,tank,armor,,10,4,41964,31180,97,306,0.0,,0,,0,0,0,50
200165,Warrior,The Goldbound War Leggings,3,68,112,strength_dps,armor,,7,4,41231,28864,115,686,0.0,,0,,0,0,0,52
200166,Warrior,Ravenous Seal of the Emerald Wilds,3,70,129,tank,finger,,11,0,51277,37525,138,0,0.0,,0,,0,0,0,53
200167,Warrior,Fearsome Iron Boots of Dead King,3,62,97,tank,armor,,8,4,38784,29325,97,364,0.0,,0,,0,0,0,50
200168,Warrior,"Cudgel, North Branch",3,22,26,strength_dps,1h_mace,1h_mace,13,4,18406,9488,28,0,16.5,,0,,0,0,0,42
200169,Warrior,The Wolfmarked Armguards,3,51,53,tank,armor,,9,4,52058,51989,55,91,0.0,,0,,0,0,0,47
200170,Warrior,Phylactery of the Dead Memory,2,50,55,strength_dps,trinket,,12,0,22753,11905,56,0,0.0,,0,,0,0,0,9
200171,Warrior,Firewarden's Shoulderguards,2,32,37,tank,armor,,3,3,26419,15698,38,61,0.0,,0,,0,0,0,6
200172,Warrior,Skullkeeper's Battleworn Sabatons,2,40,45,strength_dps,armor,,8,4,26690,14839,44,128,0.0,,0,,0,0,0,7
200173,Warrior,"Wristguards, Shield Torment",3,26,27,tank,armor,,9,3,28596,13012,27,23,0.0,,0,,0,0,0,42
200174,Warrior,The Thornwoven Legplates,3,69,122,strength_dps,armor,,7,4,36230,23523,114,752,0.0,2,0,,0,0,3015,52
200175,Warrior,Profane Greaves,2,66,114,tank,armor,,8,4,39869,25007,114,411,0.0,,0,,0,0,0,14
200176,Warrior,Pauldrons of the Ebon Flame,2,47,53,strength_dps,armor,,3,4,24509,12428,53,171,0.0,,0,,0,0,0,9
200177,Warrior,War Leggings of the Gundrak Temple,2,42,44,strength_dps,armor,,7,4,26814,14829,42,194,0.0,,0,,0,0,0,27
200178,Warrior,The Glasslike Leggings,2,5,6,strength_dps,armor,,7,3,3058,6337,12,11,0.0,,0,,0,0,0,1
200179,Warrior,Twilight Walker Breastplate,2,55,60,tank,armor,,5,4,26846,14854,59,309,0.0,,0,,0,0,0,10
200180,Warrior,Winter Glyph Great Pauldrons,3,40,42,tank,armor,,3,4,26818,14830,42,146,0.0,,0,,0,0,0,45
200181,Warrior,The Faithful Legguards,2,43,44,tank,armor,,7,4,27900,14908,48,202,0.0,,0,,0,0,0,27
200182,Warrior,Shoulderplates of the Hidden King,3,69,121,strength_dps,armor,,3,4,42872,27844,115,527,0.0,8,0,,0,0,3015,52
200183,Warrior,Farseer's Ivory Longspear,2,17,20,tank,polearm,polearm,17,6,5638,1406,21,0,12.656,,0,,0,0,0,2
200184,Warrior,War Pauldrons of Sky Forge,2,58,85,strength_dps,armor,,3,4,40757,24924,81,314,0.0,,0,,0,0,0,13
200185,Warrior,Great Runeblade of Scarlet Banner,2,54,55,tank,2h_sword,2h_sword,17,8,28529,15255,57,0,43.333,,0,,0,0,0,9
200186,Warrior,Wolf Ruin War Sword,2,15,16,tank,1h_sword,1h_sword,13,7,20114,1925,16,0,8.158,,0,,0,0,0,22
200187,Warrior,Ravenlord's Gemmed Band of the Damned Host,3,61,94,strength_dps,finger,,11,0,33534,25962,97,0,0.0,,0,,0,0,0,50
200188,Warrior,Frostguard's War Pauldrons,2,62,101,strength_dps,armor,,3,4,44536,31819,102,377,0.0,4,0,,0,0,3153,14
200189,Warrior,Wildlord's Boots,2,18,19,strength_dps,armor,,8,3,6841,1446,19,27,0.0,,0,,0,0,0,2
200190,Warrior,Shoulderplates of Gundrak,3,44,49,strength_dps,armor,,3,4,18389,9476,50,176,0.0,,0,,0,0,0,46
200191,Warrior,War Pauldrons of the Eagle Spirit,3,78,188,strength_dps,armor,,3,4,51604,41351,187,919,0.0,,0,,0,0,0,54
200192,Warrior,Everfrost Choker,4,77,175,tank,neck,,2,0,52454,37794,174,0,0.0,,0,,0,0,0,67
200193,Warrior,Scourged Battlecloak of Stone King,3,52,53,strength_dps,back,,16,1,32068,19531,53,24,0.0,,0,,0,0,0,47
200194,Warrior,"Warplate, Starfang Scream",2,65,111,tank,armor,,5,4,39613,24992,108,666,0.0,,0,,0,0,0,14
200195,Warrior,Chestguard of the Dragon Flame,2,3,10,strength_dps,armor,,5,3,36997,24107,10,23,0.0,,0,,0,0,0,1
200196,Warrior,Mystic Shoulderplates of the Grim Watch,3,80,213,tank,armor,,3,4,55733,40863,213,1045,0.0,,0,,0,0,0,54
200197,Warrior,Glittering Warbelt,2,73,154,strength_dps,armor,,6,4,52376,39849,158,502,0.0,,0,,0,0,0,16
200198,Warrior,Gloves of the Scourge Watch,2,2,5,tank,armor,,10,3,25756,6547,17,5,0.0,,0,,0,0,0,1
200199,Warrior,Drakescale Battlehelm of Dawnwatch,2,43,49,strength_dps,armor,,1,4,27404,10207,49,189,0.0,,0,,0,0,0,28
200200,Warrior,Chestguard of Long Night,3,27,32,strength_dps,armor,,5,3,22480,6972,30,95,0.0,,0,,0,0,0,43
