reference_entry,displayid,item_level,quality
2310,23025,13,2
2311,17233,13,2
2312,5406,15,2
2314,9531,24,3
2315,9530,20,2
2316,23021,22,2
2317,17214,20,2
2389,6952,5,1
2391,6954,5,1
2486,19627,3,1
2545,3043,26,2
2564,4485,50,3
2566,16666,27,2
2567,20590,23,3
2569,17120,13,2
2572,12687,10,2
2578,10891,14,2
2580,23133,12,2
2582,12394,17,2
2585,12669,21,2
2588,13253,20,1
2620,15284,39,2
2621,15295,36,2
2694,28250,17,2
2721,16826,32,3
2800,21114,26,3
2802,6484,43,3
2817,17103,12,2
2818,1963,15,2
2820,6540,50,2
2849,19929,23,2
2853,6966,7,1
2854,25851,19,2
2857,25852,18,2
2864,25848,18,2
2868,23533,25,2
2869,9403,26,2
2870,23540,29,3
2899,16949,15,2
2903,8107,15,2
2908,20605,20,2
2911,9898,23,3
2913,16828,28,2
2917,9850,33,2
2919,6526,30,1
2922,6564,20,1
2923,6550,25,1
2933,9845,31,3
2942,3007,26,3
2949,16989,25,2
2950,20378,25,2
2951,9851,36,3
2954,14615,33,2
2957,14499,11,2
2958,14498,10,2
2961,17093,11,2
2962,17160,10,2
2963,16980,9,1
2969,14524,17,2
2973,14539,17,2
2974,14537,16,2
2976,14536,15,2
2983,14552,17,2
2984,16789,18,2
2985,9739,21,2
2986,11369,20,2
2987,11373,18,2
2988,14411,19,2
2989,25769,21,2
2990,25768,21,2
2991,25765,21,2
3000,16888,10,2
3001,18087,20,1
3002,6338,30,1
3004,6551,15,1
3006,6521,25,1
3011,13259,36,2
3018,23027,23,2
3019,12682,18,2
3020,21294,33,3
3021,20673,25,3
3022,16534,23,2
3039,20672,23,2
3045,25778,27,2
3048,11525,26,2
3056,16954,26,2
3057,16984,24,2
3058,17055,25,2
3068,16824,32,2
3073,16846,26,2
3074,12420,24,2
3076,4873,23,2
3079,20738,12,2
3166,12965,15,2
3185,20362,34,2
3186,26576,30,2
3189,8525,8,1
3192,26590,12,2
3195,8499,18,2
3196,26585,18,2
3199,19372,22,2
3200,17004,8,1
3202,10216,24,2
3204,3606,26,2
3205,14410,17,2
3211,25766,19,2
3217,16787,15,2
3223,19624,11,2
3227,20381,23,2
3228,10402,26,3
3230,17166,26,3
3231,10166,25,2
3235,9840,20,2
3282,26932,12,2
3283,26933,13,2
3287,28591,12,2
3288,27996,13,2
3291,14511,13,2
3302,26944,15,2
3306,26949,18,2
3307,11060,15,2
3308,16592,15,2
3310,16590,18,2
3314,14546,15,2
3315,14547,17,2
3325,19252,9,1
3330,12971,13,2
3332,6987,9,1
3336,20341,29,2
3344,4511,15,2
3392,21310,30,2
3433,7480,1,0
3440,6806,13,2
3446,20419,13,2
3449,23127,15,2
3452,5120,22,2
3457,16850,18,2
3458,6982,18,2
3461,12672,24,2
3462,28607,24,2
3471,13090,10,2
3472,25850,12,2
3473,25849,13,2
3474,9390,15,2
3480,23531,22,2
3481,9407,25,2
3483,9406,27,2
3487,20196,19,2
3489,8496,17,2
3491,5211,25,2
3492,3780,30,2
3511,23020,15,2
3555,16615,25,2
3556,16544,30,2
3559,11626,21,2
3560,20715,35,2
3561,23135,26,2
3562,16910,27,2
3563,3179,20,2
3565,14127,20,2
3578,9380,15,2
3581,20414,18,2
3582,23085,18,2
3586,19231,16,2
3595,16583,5,1
3645,16915,17,2
3719,23040,30,2
3739,16132,25,2
3743,6275,28,2
3748,10169,26,3
3750,8732,30,2
3751,3083,30,2
3752,8666,22,2
3755,19228,32,2
3765,6971,40,2
3835,9417,33,2
3837,15333,38,2
3841,9424,35,2
3843,9242,34,2
3844,13088,36,3
3850,20215,35,2
3852,15468,34,2
3854,20252,40,2
3856,8533,40,2
3884,13249,22,1
3885,13278,22,1
3902,20412,18,2
3933,7312,23,3
3985,16829,40,2
4036,4607,27,2
4038,27557,37,2
4042,14661,39,2
4043,14652,38,2
4046,14685,45,2
4047,14679,43,2
4048,17199,31,2
4050,17141,31,2
4052,21304,35,2
4054,17149,35,2
4055,3036,34,2
4057,16890,36,2
4058,14674,41,2
4059,14673,37,2
4060,14675,40,2
4061,17008,42,2
4062,17147,45,2
4063,17181,43,2
4067,6272,39,2
4071,25801,31,2
4072,25802,30,2
4077,25825,35,2
4078,25904,39,2
4079,25896,40,2
4080,15290,45,2
4083,26075,44,2
4087,4426,41,2
4090,18496,46,3
4091,20380,47,3
4107,4438,37,2
4108,4439,40,2
4109,16983,41,2
4113,23123,45,2
4117,16830,44,2
4119,17100,43,2
4120,16695,40,3
4121,14323,35,2
4123,6919,37,2
4130,6562,50,2
4131,17115,44,2
4133,4462,37,2
4135,6486,35,2
4137,4835,42,2
4196,4483,30,3
4239,9503,13,2
4242,9505,15,2
4243,9511,17,2
4244,18458,20,2
4246,9513,16,2
4247,2362,29,2
4248,9526,26,2
4249,12464,25,2
4250,17237,25,2
4251,11274,26,2
4253,27881,27,3
4254,9543,30,2
4257,17224,32,2
4258,9538,34,2
4260,9550,39,2
4262,17218,37,3
4264,17111,40,2
4303,19615,12,2
4307,6295,10,2
4308,8089,12,2
4309,12395,14,2
4310,12865,17,2
4314,9997,22,2
4315,17135,24,2
4317,12399,25,2
4318,6291,26,2
4319,17130,29,2
4320,4301,24,3
4321,17138,28,2
4322,15314,33,2
4323,15319,34,2
4325,4631,35,2
4327,15273,40,3
4328,17136,36,2
4331,13195,25,2
4343,12388,10,2
4368,13236,20,2
4373,26619,24,2
4381,22293,28,2
4385,22422,30,2
4393,13215,37,2
4396,21632,40,2
4397,7841,40,2
4434,4365,20,2
4437,20390,20,2
4438,6977,30,3
4439,6795,22,2
4444,18694,24,2
4448,4723,27,2
4449,20439,27,2
4455,14261,33,2
4456,17231,33,2
4462,23098,31,2
4464,7002,32,2
4474,12883,32,2
4505,16791,31,2
4511,19783,40,2
4534,6996,29,2
4535,9838,31,2
4543,21313,40,2
4562,8531,10,2
4566,20420,13,2
4567,20111,16,2
4569,19778,14,2
4570,8586,15,2
4575,20401,19,2
4576,20674,21,2
4577,6592,13,2
4614,9859,35,2
4643,15079,33,2
4660,6322,18,2
4661,27551,26,2
4664,2563,11,1
4676,6991,17,2
4697,25767,20,2
4699,14555,18,2
4701,23044,16,2
4706,25979,24,2
4707,25781,26,2
4708,27545,24,2
4709,8098,25,2
4710,23029,22,2
4712,25803,29,2
4713,23140,26,2
4717,25813,34,2
4718,16652,35,2
4720,14624,33,2
4721,17193,35,2
4724,21302,30,2
4727,25895,38,2
4731,14677,39,2
4732,23031,37,2
4734,11638,43,2
4736,14686,42,2
4737,17192,44,2
4738,16921,42,2
4741,4912,37,2
4743,6546,50,3
4744,16925,39,2
4745,7005,40,2
4765,7313,14,2
4766,5154,13,2
4767,3528,15,2
4768,16946,15,2
4771,23012,15,2
4778,6808,19,2
4782,16812,18,2
4785,6277,24,2
4786,16833,20,2
4788,4024,20,2
4790,15165,25,2
4793,15247,24,2
4794,6787,25,2
4797,15161,25,2
4799,23087,23,2
4810,19911,37,2
4818,20155,24,2
4827,16865,28,2
4828,16792,27,2
4830,17153,28,2
4831,17154,26,2
4832,22428,29,2
4853,15330,5,1
4861,5243,10,2
4910,6969,5,1
4914,17075,5,1
4915,16802,5,1
4920,23007,5,1
4928,17017,8,1
4947,20603,11,2
4949,19214,21,2
4951,16938,7,1
4954,16932,5,1
4971,8572,12,2
4976,28287,40,2
4977,20009,41,2
4978,19741,36,2
4980,5435,37,2
4989,16673,50,2
4990,16934,50,2
5005,9658,35,2
5008,9843,36,2
5016,16849,35,2
5069,6097,12,2
5071,18356,14,2
5111,18133,15,2
5180,6494,34,2
5191,7311,24,3
5193,22998,25,3
5195,16966,22,3
5197,20953,21,3
5198,21011,22,3
5199,1978,21,3
5200,5949,22,3
5202,12803,24,3
5207,20903,20,2
5214,21020,32,2
5216,20790,45,2
5222,6001,28,1
5242,6093,16,2
5243,12601,20,3
5249,20793,40,2
5250,6140,28,2
5252,20825,21,2
5254,10179,20,3
5256,19673,35,2
5257,23000,37,3
5275,7545,15,2
5299,17223,20,2
5306,7524,20,2
5309,7531,20,2
5311,17159,21,2
5312,7540,20,2
5313,7544,25,2
5315,28200,18,2
5316,16870,25,2
5317,8658,25,2
5319,7553,20,1
5328,7563,15,2
5337,19899,16,2
5340,20417,15,2
5341,8717,15,2
5343,23088,18,2
5344,8485,14,2
5345,8602,14,2
5346,20719,14,2
5351,6011,20,2
5356,20834,27,2
5387,23108,20,2
5404,6729,23,3
5420,8635,14,2
5425,7932,20,3
5426,19396,20,3
5444,15089,19,3
5459,5014,13,2
5540,6439,23,2
5541,19801,28,2
5542,23131,19,2
5587,19648,13,2
5609,6755,22,2
5610,23115,15,2
5613,20384,23,2
5617,6718,13,2
5622,14432,22,2
5627,20354,20,2
5630,8449,20,2
5739,12368,38,2
5750,8749,23,2
5751,23078,25,2
5753,8753,31,2
5754,7093,31,2
5755,8719,35,2
5756,20591,37,3
5770,12695,30,2
5776,20449,5,1
5780,8905,18,2
5781,8908,19,2
5782,22393,34,2
5813,9055,32,2
5817,9060,30,2
5819,15810,33,3
5820,9077,32,2
5821,16982,24,2
5822,9082,24,2
5943,9378,25,3
5944,7554,15,2
5958,9514,21,2
5962,9535,32,2
5964,9544,35,2
5965,23033,37,2
5966,9549,38,2
5967,9552,18,2
5969,23059,23,2
5970,19128,23,3
5971,23026,26,2
6040,9634,37,2
6084,9738,13,2
6085,11368,13,2
6087,9742,24,3
6092,49990,18,2
6093,19646,27,2
6095,11548,24,2
6173,16809,5,1
6179,15166,19,2
6188,10434,15,2
6191,10454,23,2
6195,12944,15,2
6197,2644,22,2
6198,10529,30,2
6199,10530,24,2
6204,13266,32,2
6220,20536,29,3
6226,12652,23,3
6238,12389,10,2
6240,12387,12,2
6241,17123,10,2
6242,12386,14,2
6243,12393,18,2
6255,6590,19,2
6266,16560,13,2
6267,16561,12,2
6269,17152,12,2
6282,11166,32,2
6314,23082,27,3
6318,20335,26,3
6319,11253,26,3
6320,18700,28,3
6321,14433,26,3
6324,12696,29,3
6336,3057,13,2
6337,3058,12,2
6360,11453,25,2
6378,23139,17,2
6379,16922,17,2
6381,27549,23,2
6387,25800,29,2
6388,25806,30,2
6389,15517,31,2
6392,11533,29,3
6394,11571,27,2
6395,13677,29,2
6396,14602,32,2
6397,14603,29,2
6399,14599,30,2
6402,25812,36,2
6403,25808,33,2
6405,14625,36,2
6408,17061,34,2
6410,17009,33,2
6411,25882,41,2
6415,12653,41,2
6416,14651,38,2
6419,14676,38,2
6420,14672,39,2
6421,14671,38,2
6424,26082,42,2
6425,26076,44,2
6427,12676,46,2
6430,18471,46,2
6431,16986,43,2
6432,23039,41,2
6433,21291,43,2
6440,12643,48,3
6448,20349,22,3
6449,23001,22,3
6459,11935,23,3
6461,11946,27,3
6466,23010,18,2
6467,11952,21,2
6468,11960,23,3
6469,20652,24,3
6473,17091,23,3
6477,11997,20,2
6480,9541,20,2
6482,12070,24,2
6502,12282,22,2
6519,8437,10,1
6527,12422,13,2
6531,19110,18,2
6537,12439,15,2
6538,16522,19,2
6539,14735,16,2
6540,14738,18,2
6541,14737,16,2
6542,15267,15,2
6543,14736,15,2
6546,25759,17,2
6547,25756,17,2
6548,25757,16,2
6550,25758,15,2
6551,6931,17,2
6553,14730,18,2
6556,14728,15,2
6557,19184,16,2
6558,17113,15,2
6559,2210,16,2
6562,16881,21,2
6563,14750,20,2
6565,16793,22,2
6567,14748,25,2
6569,18120,25,2
6570,14752,22,2
6573,25760,23,2
6574,12456,22,2
6575,25967,20,2
6576,25762,22,2
6578,12453,23,2
6581,17127,21,2
6582,14759,22,2
6583,3657,21,2
6584,14758,25,2
6585,23053,20,2
6587,14757,24,2
6591,25797,27,2
6592,25798,29,2
6593,25993,26,2
6596,25796,28,2
6597,25799,28,2
6601,14769,28,2
6603,14773,30,2
6605,14775,28,2
6607,14776,30,2
6608,27542,27,2
6609,16862,32,2
6611,16866,29,2
6612,19921,28,2
6613,16869,28,2
6615,16864,29,2
6616,16863,32,2
6617,4904,30,2
6627,12595,28,3
6628,16952,22,2
6631,20336,25,3
6632,15156,20,3
6659,12777,20,2
6665,12783,26,2
6666,12784,22,2
6667,23110,27,2
6668,12788,27,2
6678,14434,28,2
6682,12858,31,3
6685,11473,30,3
6687,22217,34,3
6688,17277,32,3
6689,20325,32,3
6690,17142,34,3
6696,20650,32,3
6726,16716,41,2
6727,17067,41,2
6729,20821,38,2
6731,12945,20,2
6732,12943,38,2
6739,20666,29,2
6740,12977,29,2
6742,12981,36,3
6743,12984,25,2
6744,16956,33,2
6747,12986,40,2
6750,12987,31,2
6752,16988,30,2
6780,13023,36,2
6784,13026,36,2
6788,17122,42,2
6792,13052,40,2
6793,13053,40,2
6794,17187,40,2
6797,21014,37,2
6804,19707,34,3
6831,20292,44,3
6832,23097,42,2
6900,13337,38,3
6901,23002,29,3
6902,17001,27,3
6903,13357,28,3
6906,13361,28,3
6908,16723,25,3
6910,13365,31,3
6911,16931,31,3
6969,20400,15,2
6971,15327,31,2
6975,22734,40,3
6978,19133,15,2
6983,19773,15,2
6984,20159,15,2
6998,13500,25,2
7000,16919,25,2
7001,20824,29,3
7046,13649,28,2
7047,17146,29,2
7048,15283,29,2
7049,17143,30,2
7050,15863,32,2
7053,23092,35,2
7056,15243,36,2
7059,13672,38,2
7060,17132,38,2
7065,13684,33,2
7107,13758,33,2
7111,14986,37,2
7113,14678,46,2
7115,19204,15,2
7117,19776,15,2
7130,15288,31,2
7187,16999,20,3
7188,13863,24,2
7229,11563,13,2
7280,17232,11,2
7281,14002,14,2
7282,3248,19,2
7284,3992,24,2
7285,14004,24,2
7298,20425,13,2
7327,20398,15,2
7329,20160,15,2
7332,15003,45,2
7338,9833,10,1
7348,6735,25,3
7349,17230,27,2
7352,14316,27,2
7355,16604,31,2
7356,23100,30,2
7359,17225,29,2
7368,16600,34,2
7369,16607,35,2
7370,16603,31,2
7373,14777,33,2
7374,14781,35,2
7375,25674,35,2
7377,23030,36,2
7386,14831,38,2
7387,14832,39,2
7390,17215,40,2
7407,21900,35,2
7408,11270,33,2
7409,19043,33,2
7410,14803,31,2
7411,23043,31,2
7413,21298,33,2
7414,21901,34,2
7415,14950,29,2
7417,26030,34,2
7419,26043,30,2
7420,30091,33,2
7421,26036,33,2
7423,26039,34,2
7427,9853,31,2
7431,14644,39,2
7432,16825,38,2
7433,16651,37,2
7437,14647,36,2
7440,15001,39,2
7441,21311,38,2
7443,15000,37,2
7444,14996,37,2
7447,14997,36,2
7448,14999,36,2
7454,25862,39,2
7456,30092,38,2
7460,26064,34,2
7462,25866,37,2
7471,15008,42,2
7474,15178,40,2
7475,15410,41,2
7476,15012,40,2
7477,17099,45,2
7478,15020,43,2
7479,15307,42,2
7480,15018,41,2
7481,15017,42,2
7483,23057,40,2
7486,22559,44,2
7487,25820,43,2
7489,25819,41,2
7492,26018,39,2
7493,25818,40,2
7506,15150,25,2
7510,15201,20,2
7511,15223,31,2
7512,15232,31,2
7519,15401,47,2
7520,15909,47,2
7522,15409,45,2
7524,15406,44,2
7526,16838,46,2
7530,15415,46,2
7534,15413,45,2
7538,26087,48,2
7539,3193,48,2
7541,26089,46,2
7542,26090,46,2
7544,26097,44,2
7549,14437,47,2
7551,15421,47,2
7553,15422,48,2
7682,6555,34,3
7683,15720,34,3
7688,15731,35,3
7690,15753,35,3
7691,16823,35,3
7709,15824,35,3
7710,20360,36,3
7711,12673,38,3
7712,4488,38,3
7713,15806,39,3
7717,22221,42,3
7719,15811,42,3
7720,16224,44,3
7727,17197,32,3
7728,19109,34,3
7731,15420,35,3
7734,3410,51,3
7746,7899,41,2
7750,13673,33,2
7751,15886,30,2
7752,19670,33,3
7754,15889,30,3
7755,15890,38,3
7756,15894,34,3
7759,15897,38,3
7760,21404,39,3
7786,15938,30,3
7914,16080,32,2
7916,16086,36,2
7917,16087,37,2
7926,16103,45,2
7928,16106,45,2
7929,23538,42,2
7930,16109,46,2
7934,16115,47,2
7935,16117,48,2
7938,16124,45,3
7942,5639,44,2
7943,16128,45,2
7947,16130,51,2
7949,16133,30,2
7950,16134,30,2
7952,16136,30,2
7956,16146,25,2
7957,16147,26,2
7960,23264,52,3
7961,25053,49,3
7963,16184,40,2
7996,16548,20,1
8108,16636,47,2
8109,23107,46,2
8110,16633,47,2
8112,16632,49,2
8113,19901,51,2
8114,21459,47,2
8116,16920,47,2
8118,14700,46,2
8120,23038,45,2
8121,14698,47,2
8123,14697,49,2
8125,26103,48,2
8127,26118,47,2
8129,26108,49,2
8132,26110,51,2
8133,26114,50,2
8138,27330,47,2
8141,27334,44,2
8142,27338,44,2
8143,27335,46,2
8174,17213,40,3
8175,16482,41,2
8176,16483,41,2
8178,26591,10,2
8184,18346,29,2
8186,20851,26,2
8187,16488,41,2
8188,20735,37,2
8191,16492,46,2
8192,16497,42,2
8193,17151,46,2
8194,19721,43,2
8198,16506,42,2
8199,18342,47,2
8200,16508,43,2
8202,16510,47,2
8203,16513,44,2
8204,16515,45,2
8206,16517,49,2
8208,16520,50,2
8209,16521,47,2
8210,25691,44,2
8211,25689,45,2
8214,25693,45,2
8215,23081,50,2
8224,22232,36,2
8245,17211,56,2
8247,17229,51,2
8248,17238,50,2
8249,17216,52,2
8250,17234,52,2
8254,18728,53,2
8256,17258,52,2
8257,17259,50,2
8261,17321,54,2
8265,26204,56,2
8266,26228,51,2
8267,28726,54,2
8269,28667,55,2
8272,26217,54,2
8277,27375,46,2
8281,27378,48,2
8293,17318,56,2
8295,17316,56,2
8297,23066,55,2
8302,26313,58,2
8304,26323,57,2
8307,26310,60,2
8309,26317,61,2
8310,26321,60,2
8314,27390,53,2
8315,27391,52,2
8318,27393,56,2
8319,27396,55,2
8345,45176,45,3
8346,16678,46,3
8348,17226,50,3
8350,224,15,2
8367,16729,51,3
9149,8025,45,2
9240,57786,50,3
9243,17918,45,2
9291,27360,43,2
9359,19756,45,3
9375,21295,38,3
9385,20249,36,3
9388,18427,40,3
9389,18433,41,3
9390,19056,40,3
9392,18270,40,3
9394,21301,42,3
9395,18271,34,3
9396,18274,39,3
9397,22996,39,3
9398,18361,40,3
9400,20553,41,3
9403,18824,40,3
9404,18826,42,3
9405,18283,33,3
9406,18284,35,3
9407,12345,40,3
9408,20274,42,3
9409,18352,42,3
9410,29000,45,3
9413,19620,49,3
9414,18434,46,3
9417,18308,47,3
9418,20193,49,3
9419,18312,46,3
9420,18322,37,3
9423,18324,45,3
9428,18331,35,3
9429,18376,44,3
9430,18333,45,3
9433,18337,46,3
9445,18364,34,3
9446,16538,34,3
9447,18365,34,3
9448,18366,33,3
9450,18367,33,3
9454,14749,32,3
9455,18371,33,3
9456,18372,35,3
9457,18373,35,3
9461,3258,37,3
9467,20311,47,3
9469,18382,48,3
9473,18386,49,3
9474,18387,49,3
9478,25598,50,3
9479,18392,50,3
9481,19309,49,3
9482,20269,47,3
9483,20786,49,3
9484,22426,50,3
9489,18408,31,2
9491,14765,32,3
9492,18415,37,3
9508,18428,31,3
9509,18429,30,3
9510,18431,32,3
9512,22988,46,3
9514,20424,10,2
9519,18444,36,2
9520,20574,41,2
9521,19307,41,2
9527,20300,46,2
9531,18497,46,2
9534,18498,47,3
9598,19011,10,2
9599,26948,10,2
9602,20069,10,2
9603,20432,10,2
9608,7494,31,2
9609,18991,31,2
9624,28195,37,3
9625,28317,37,3
9630,4440,45,2
9631,28339,45,2
9632,28283,45,2
9634,18998,46,2
9636,4446,45,2
9640,18573,48,3
9645,18906,49,2
9646,28172,49,2
9648,28097,48,2
9649,28294,55,3
9651,18578,53,3
9652,17150,53,3
9653,18579,50,2
9658,19913,43,2
9660,28299,43,2
9663,28315,45,2
9664,18584,45,2
9666,28300,50,2
9678,5233,43,2
9683,20289,51,3
9687,28328,33,2
9747,14711,14,2
9748,18883,15,2
9763,22687,14,2
9765,22688,15,2
9766,25947,22,2
9770,23106,20,2
9772,25942,27,2
9775,28177,19,2
9776,16981,20,2
9777,28427,19,2
9779,28433,18,2
9781,28431,22,2
9782,28430,23,2
9783,13011,20,2
9785,25776,17,2
9786,25978,16,2
9787,13484,19,2
9788,25775,18,2
9794,27752,25,2
9795,27753,26,2
9796,27754,27,2
9797,27755,28,2
9799,28477,26,2
9801,6760,25,2
9802,27761,26,2
9803,27760,26,2
9807,27759,27,2
9809,27758,28,2
9811,25772,24,2
9814,25771,24,2
9817,25774,26,2
9820,27861,31,2
9822,27858,29,2
9823,10508,31,2
9824,27855,32,2
9826,27856,34,2
9827,14936,30,2
9829,28482,29,2
9832,27766,31,2
9834,27764,32,2
9835,11580,33,2
9840,27777,31,2
9841,27770,32,2
9844,28424,38,2
9845,50497,35,2
9847,15236,33,2
9850,12980,36,2
9851,28419,37,2
9852,28425,38,2
9853,28421,34,2
9854,14068,38,2
9857,18930,34,2
9859,26550,36,2
9861,18929,35,2
9862,14635,37,2
9864,25980,36,2
9865,25786,34,2
9866,25787,38,2
9867,26251,33,2
9870,25991,36,2
9871,26249,37,2
9877,28065,38,2
9878,28067,41,2
9879,28057,39,2
9881,28068,41,2
9883,28061,42,2
9884,28074,43,2
9885,18904,40,2
9887,18903,43,2
9889,18921,40,2
9890,23023,38,2
9893,27807,42,2
9894,3169,41,2
9895,27787,40,2
9898,27794,38,2
9900,27791,40,2
9905,28411,48,2
9911,28416,46,2
9912,28409,45,2
9913,28417,48,2
9917,18937,44,2
9920,18936,44,2
9921,19010,45,2
9922,18935,46,2
9923,18939,45,2
9924,18934,48,2
9925,18938,44,2
9927,25931,42,2
9930,25933,43,2
9931,25928,43,2
9932,25937,44,2
9933,25934,45,2
9934,25935,44,2
9935,18819,45,2
9936,28010,49,2
9941,27796,49,2
9942,14613,50,2
9943,27800,53,2
9946,28972,53,2
9950,18943,53,2
9952,18946,49,2
9963,26200,48,2
9966,27348,45,2
9967,27351,43,2
9968,27352,42,2
9970,27354,44,2
9999,24354,41,2
10001,19141,42,2
10002,19061,42,2
10004,24951,43,2
10008,41463,43,2
10009,16764,43,2
10011,18889,44,2
10018,19111,45,2
10019,18999,45,3
10021,18949,45,3
10023,19055,45,2
10024,18860,46,2
10026,21154,46,2
10027,18865,46,2
10028,18866,47,2
10029,19113,47,2
10030,18872,48,2
10033,18879,48,2
10041,19000,50,3
10043,20209,31,2
10047,19009,15,2
10048,18914,24,2
10049,20472,25,2
10058,28151,50,2
10059,28124,50,2
10061,44716,51,2
10062,29002,51,2
10063,28123,51,2
10064,28140,53,2
10065,28165,55,2
10066,28155,49,2
10067,19019,49,2
10068,19013,51,2
10069,19014,49,2
10070,19012,55,2
10071,23060,49,2
10072,19017,51,2
10075,19020,51,2
10077,26327,53,2
10079,26331,48,2
10080,26328,50,2
10083,26330,51,2
10084,19720,52,2
10085,26329,52,2
10087,27364,46,2
10090,27366,46,2
10092,27371,47,2
10094,27368,45,2
10095,27600,56,2
10096,27601,54,2
10098,27607,53,2
10101,27598,58,2
10103,27614,54,2
10106,27718,56,2
10107,27719,54,2
10109,27717,54,2
10110,27726,55,2
10112,27731,58,2
10113,27733,57,2
10119,26297,57,2
10121,26293,56,2
10124,19708,57,2
10126,26289,54,2
10127,27426,49,2
10129,27428,50,2
10131,27425,50,2
10132,19759,51,2
10133,27430,52,2
10134,27431,51,2
10136,27630,60,2
10137,27633,61,2
10138,27631,59,2
10139,28852,62,2
10140,27639,61,2
10144,27647,60,2
10146,27741,61,2
10147,27740,60,2
10148,27743,58,2
10149,27745,61,2
10155,26129,61,2
10156,26122,60,2
10166,27411,54,2
10167,27405,55,2
10171,27406,54,2
10174,23136,52,2
10175,44717,55,2
10176,28083,54,2
10179,28080,54,2
10180,28079,52,2
10191,26155,51,2
10192,26160,53,2
10194,26173,50,2
10198,26172,53,2
10201,27400,48,2
10205,27398,49,2
10206,27399,48,2
10207,27404,49,2
10211,24291,59,2
10213,27870,58,2
10214,27868,59,2
10217,25198,61,2
10226,18985,61,2
10228,18983,60,2
10230,26267,60,2
10232,26269,58,2
10233,26270,57,2
10237,26273,58,2
10238,27380,52,2
10239,27385,51,2
10240,27384,55,2
10242,27381,52,2
10243,27382,51,2
10244,27383,54,2
10249,26126,61,2
10258,27850,60,2
10265,26239,62,2
10269,26245,62,2
10278,27418,55,2
10279,27423,58,2
10288,18976,31,2
10289,27862,32,2
10358,28156,36,2
10359,19917,36,2
10370,26353,57,2
10371,26354,58,2
10372,26365,59,2
10374,26364,59,2
10376,26333,60,2
10379,27749,61,2
10380,26334,60,2
10382,26336,62,2
10383,26337,61,2
10391,26360,60,2
10399,9123,24,3
10400,27947,18,2
10401,27946,18,2
10402,21903,18,2
10403,14389,22,3
10406,28173,32,2
10408,27774,32,2
10410,28385,23,3
10411,27949,23,3
10412,28384,21,3
10413,19125,19,3
10423,19201,31,2
10499,19397,35,2
10501,19402,44,2
10502,19409,43,2
10504,19563,49,3
10508,18298,41,2
10545,22420,42,2
10549,19951,12,2
10553,19919,11,2
