entry,name,required_level,item_level,quality,profile_id,map_id,difficulty_id,instance,destination,encounter,encounter_kind,encounter_name,pool_id,loot_mode,chance,quantity,item_level_min,item_level_max,target_count,target_entries,target_names,targets
200011,Star Walker Legmail,34,39,2,map_560_difficulty_1,560,1,HillsbradPast,dungeon,trash,trash,Trash,3530000,2,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200012,The Bloodmarked Battlehelm,72,143,3,map_576_difficulty_1,576,1,Nexus70,dungeon,boss_000524,boss,Ormorok the Tree-Shaper,3580004,2,2.0,1,133,284,1,creature:26794,Ormorok the Tree-Shaper,creature:26794=Ormorok the Tree-Shaper
200013,Frostlord's Nightcloak of the Stone King,75,162,3,map_576_difficulty_1,576,1,Nexus70,dungeon,boss_000526,boss,Keristrasza,3580005,2,2.0,1,133,284,1,creature:26723,Keristrasza,creature:26723=Keristrasza
200014,Vrykul Brooch of the Dalaran Watch,72,146,3,map_552_difficulty_0,552,0,TempestKeepArcane,dungeon,boss_000494,boss,Zereketh the Unbound,3380000,1,2.0,1,112,148,1,creature:20870,Zereketh the Unbound,creature:20870=Zereketh the Unbound
200015,Divine Sabatons,77,178,3,map_576_difficulty_0,576,0,Nexus70,dungeon,trash,trash,Trash,3570001,1,2.0,1,133,284,16,creature:26716; creature:26722; creature:26727; creature:26728; creature:26729; creature:26730; creature:26734; creature:26735; creature:26737; creature:26782; creature:26792; creature:26800; creature:26802; creature:26805; creature:27949; creature:28231,Azure Warder; Azure Magus; Mage Hunter Ascendant; Mage Hunter Initiate; Steward; Mage Slayer; Azure Enforcer; Azure Scale-Binder; Crazed Mana-Surge; Crystalline Keeper; Crystalline Protector; Alliance Berserker; Alliance Ranger; Alliance Cleric; Alliance Commander; Crystalline Tender,creature:26716=Azure Warder; creature:26722=Azure Magus; creature:26727=Mage Hunter Ascendant; creature:26728=Mage Hunter Initiate; creature:26729=Steward; creature:26730=Mage Slayer; creature:26734=Azure Enforcer; creature:26735=Azure Scale-Binder; creature:26737=Crazed Mana-Surge; creature:26782=Crystalline Keeper; creature:26792=Crystalline Protector; creature:26800=Alliance Berserker; creature:26802=Alliance Ranger; creature:26805=Alliance Cleric; creature:27949=Alliance Commander; creature:28231=Crystalline Tender
200016,Dreamwarden's Windforged Girdle,55,60,2,map_289_difficulty_0,289,0,SchoolofNecromancy,dungeon,boss_000453,boss,Rattlegore,3120002,1,2.0,1,58,101,1,creature:11622,Rattlegore,creature:11622=Rattlegore
200017,Battlemaiden's Cuirass of the Star Grove,42,49,2,map_560_difficulty_1,560,1,HillsbradPast,dungeon,trash,trash,Trash,3530000,2,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200018,Dragoncaller's Stoneforged Mark,64,103,2,map_542_difficulty_1,542,1,HellfireDemon,dungeon,trash,trash,Trash,3260001,2,2.0,1,91,104,2,creature:17370; creature:17400,Laughing Skull Rogue; Felguard Annihilator,creature:17370=Laughing Skull Rogue; creature:17400=Felguard Annihilator
200019,Tombwarden's Greaves,31,32,2,map_560_difficulty_1,560,1,HillsbradPast,dungeon,trash,trash,Trash,3530000,2,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200020,Wolfkeeper's Clouded Girdle,55,56,2,map_429_difficulty_0,429,0,DireMaul,dungeon,boss_000343,boss,Zevrim Thornhoof,3180000,1,2.0,1,55,101,1,creature:11490,Zevrim Thornhoof,creature:11490=Zevrim Thornhoof
200021,Warplate of Blood Price,57,61,2,map_289_difficulty_0,289,0,SchoolofNecromancy,dungeon,boss_000458,boss,Doctor Theolen Krastinov,3120007,1,2.0,1,58,101,1,creature:11261,Doctor Theolen Krastinov,creature:11261=Doctor Theolen Krastinov
200022,"Greaves, Iron Mark",53,59,3,map_560_difficulty_0,560,0,HillsbradPast,dungeon,trash,trash,Trash,3520000,1,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200023,Soulwarden's Epaulets of the Scourge Host,36,38,3,map_560_difficulty_0,560,0,HillsbradPast,dungeon,trash,trash,Trash,3520000,1,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200024,Zealous Chestplate,68,119,3,map_560_difficulty_0,560,0,HillsbradPast,dungeon,trash,trash,Trash,3520000,1,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200025,Harsh Vambraces,67,116,4,map_557_difficulty_0,557,0,AuchindounEthereal,dungeon,boss_000203,boss,Pandemonius,3480000,1,2.0,1,102,116,1,creature:18341,Pandemonius,creature:18341=Pandemonius
200026,Ancient Knight's Dreaming Battlecloak,46,50,3,map_349_difficulty_0,349,0,Mauradon,dungeon,boss_000423,boss,Razorlash,3150002,1,2.0,1,43,59,1,creature:12258,Razorlash,creature:12258=Razorlash
200027,Spider Sorrow Handaxe,62,100,2,map_546_difficulty_0,546,0,CoilfangMarsh,dungeon,trash,trash,Trash,3320001,1,2.0,1,95,112,15,creature:17723; creature:17724; creature:17725; creature:17726; creature:17727; creature:17728; creature:17729; creature:17730; creature:17731; creature:17732; creature:17734; creature:17735; creature:17771; creature:17871; creature:19632,Bog Giant; Underbat; Underbog Lurker; Wrathfin Myrmidon; Wrathfin Sentry; Murkblood Tribesman; Murkblood Spearman; Murkblood Healer; Fen Ray; Lykul Wasp; Underbog Lord; Wrathfin Warrior; Murkblood Oracle; Underbog Shambler; Lykul Stinger,creature:17723=Bog Giant; creature:17724=Underbat; creature:17725=Underbog Lurker; creature:17726=Wrathfin Myrmidon; creature:17727=Wrathfin Sentry; creature:17728=Murkblood Tribesman; creature:17729=Murkblood Spearman; creature:17730=Murkblood Healer; creature:17731=Fen Ray; creature:17732=Lykul Wasp; creature:17734=Underbog Lord; creature:17735=Wrathfin Warrior; creature:17771=Murkblood Oracle; creature:17871=Underbog Shambler; creature:19632=Lykul Stinger
200028,War Pauldrons of the Violet Star,49,50,2,map_560_difficulty_0,560,0,HillsbradPast,dungeon,trash,trash,Trash,3520000,1,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200029,The Charred Girdle,27,31,2,map_560_difficulty_0,560,0,HillsbradPast,dungeon,trash,trash,Trash,3520000,1,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200030,Titan Axe of Borean Tundra,47,53,3,map_560_difficulty_1,560,1,HillsbradPast,dungeon,trash,trash,Trash,3530000,2,2.0,1,11,120,18,creature:2267; creature:2350; creature:2354; creature:2385; creature:2408; creature:17814; creature:17815; creature:17819; creature:17820; creature:17833; creature:17840; creature:17846; creature:17860; creature:18092; creature:18093; creature:18094; creature:20424; creature:28132,Hillsbrad Peasant; Forest Moss Creeper; Vicious Gray Bear; Feral Mountain Lion; Snapjaw; Lordaeron Watchman; Lordaeron Sentry; Durnholde Sentry; Durnholde Rifleman; Durnholde Warden; Durnholde Tracking Hound; Pit Spectator; Durnholde Veteran; Tarren Mill Guardsman; Tarren Mill Protector; Tarren Mill Lookout; Hillsbrad Peasant; Don Carlos,creature:2267=Hillsbrad Peasant; creature:2350=Forest Moss Creeper; creature:2354=Vicious Gray Bear; creature:2385=Feral Mountain Lion; creature:2408=Snapjaw; creature:17814=Lordaeron Watchman; creature:17815=Lordaeron Sentry; creature:17819=Durnholde Sentry; creature:17820=Durnholde Rifleman; creature:17833=Durnholde Warden; creature:17840=Durnholde Tracking Hound; creature:17846=Pit Spectator; creature:17860=Durnholde Veteran; creature:18092=Tarren Mill Guardsman; creature:18093=Tarren Mill Protector; creature:18094=Tarren Mill Lookout; creature:20424=Hillsbrad Peasant; creature:28132=Don Carlos
200031,Ghostly Great Maul of Freya Garden,77,180,2,map_595_difficulty_0,595,0,StratholmeCOT,dungeon,trash,trash,Trash,3600000,1,2.0,1,174,284,6,creature:27729; creature:27731; creature:27734; creature:27736; creature:28201; creature:28249,Enraging Ghoul; Acolyte; Crypt Fiend; Patchwork Construct; Bile Golem; Devouring Ghoul,creature:27729=Enraging Ghoul; creature:27731=Acolyte; creature:27734=Crypt Fiend; creature:27736=Patchwork Construct; creature:28201=Bile Golem; creature:28249=Devouring Ghoul
200032,Sable Great Gauntlets,56,58,3,map_289_difficulty_0,289,0,SchoolofNecromancy,dungeon,boss_000460,boss,The Ravenian,3120009,1,2.0,1,58,101,1,creature:10507,The Ravenian,creature:10507=The Ravenian
200033,Carapace of the Halls of Reflection,80,213,3,map_576_difficulty_1,576,1,Nexus70,dungeon,boss_000522,boss,Anomalus,3580003,2,2.0,1,133,284,1,creature:26763,Anomalus,creature:26763=Anomalus
