set_id,set_name,entry,name,slot,profile_id,encounter,atomic_profile
911,Vestments of the Silver Hand,282589,Gloves of the Silver Hand,hands,map_548_difficulty_0,boss_000627,map_548_difficulty_0
905,Raiment of the Dragonblight Vanguard,282964,Gloves of the Dragonblight Vanguard,hands,,,
931,Regalia of the Bone Wastes,284289,Robes of the Bone Wastes,chest,,,
931,Regalia of the Bone Wastes,284785,Gloves of the Bone Wastes,hands,,,
911,Vestments of the Silver Hand,285181,Mantle of the Silver Hand,shoulder,map_548_difficulty_0,boss_000625,map_548_difficulty_0
931,Regalia of the Bone Wastes,285952,Cowl of the Bone Wastes,head,,,
931,Regalia of the Bone Wastes,286161,Mantle of the Bone Wastes,shoulder,,,
911,Vestments of the Silver Hand,286834,Robes of the Silver Hand,chest,map_548_difficulty_0,boss_000626,map_548_difficulty_0
911,Vestments of the Silver Hand,287292,Cowl of the Silver Hand,head,map_548_difficulty_0,boss_000625,map_548_difficulty_0
931,Regalia of the Bone Wastes,289108,Leggings of the Bone Wastes,legs,,,
911,Vestments of the Silver Hand,289413,Leggings of the Silver Hand,legs,map_548_difficulty_0,boss_000627,map_548_difficulty_0
922,Battlegear of the Frostborn Vigil,300004,Shoulderguards of the Frostborn Vigil,shoulder,,,
906,Warplate of the Hallowed Flame,300060,Gauntlets of the Hallowed Flame,hands,,,
933,Battlegear of the Black Citadel,300473,Shoulderguards of the Black Citadel,shoulder,map_603_difficulty_1,boss_000747,map_603_difficulty_1
933,Battlegear of the Black Citadel,300781,Legplates of the Black Citadel,legs,map_603_difficulty_1,boss_000747,map_603_difficulty_1
933,Battlegear of the Black Citadel,300808,Breastplate of the Black Citadel,chest,map_603_difficulty_1,boss_000747,map_603_difficulty_1
933,Battlegear of the Black Citadel,301526,Gauntlets of the Black Citadel,hands,map_603_difficulty_1,boss_000747,map_603_difficulty_1
906,Warplate of the Hallowed Flame,304003,Chestguard of the Hallowed Flame,chest,,,
922,Battlegear of the Frostborn Vigil,304757,Breastplate of the Frostborn Vigil,chest,,,
906,Warplate of the Hallowed Flame,305158,Legguards of the Hallowed Flame,legs,,,
933,Battlegear of the Black Citadel,306011,Helm of the Black Citadel,head,map_603_difficulty_1,boss_000747,map_603_difficulty_1
922,Battlegear of the Frostborn Vigil,306443,Legplates of the Frostborn Vigil,legs,,,
922,Battlegear of the Frostborn Vigil,307767,Helm of the Frostborn Vigil,head,,,
906,Warplate of the Hallowed Flame,308389,Pauldrons of the Hallowed Flame,shoulder,,,
906,Warplate of the Hallowed Flame,308390,Helm of the Hallowed Flame,head,,,
922,Battlegear of the Frostborn Vigil,309537,Gauntlets of the Frostborn Vigil,hands,,,
914,Harness of the Twilight Reach,320347,Tunic of the Twilight Reach,chest,,,
908,Harness of the Dragonblight Vanguard,321225,Headguard of the Dragonblight Vanguard,head,,,
914,Harness of the Twilight Reach,321314,Headguard of the Twilight Reach,head,,,
908,Harness of the Dragonblight Vanguard,321443,Handguards of the Dragonblight Vanguard,hands,,,
903,Regalia of the Wyrmrest Accord,321754,Mantle of the Wyrmrest Accord,shoulder,,,
903,Regalia of the Wyrmrest Accord,321778,Gloves of the Wyrmrest Accord,hands,,,
939,Battlegear of the Emerald Dream,322236,Breastplate of the Emerald Dream,chest,,,
908,Harness of the Dragonblight Vanguard,322468,Tunic of the Dragonblight Vanguard,chest,,,
915,Battlegear of the Darkiron Vigil,323637,Shoulderguards of the Darkiron Vigil,shoulder,map_329_difficulty_0,boss_000482,map_329_difficulty_0
939,Battlegear of the Emerald Dream,325112,Shoulderguards of the Emerald Dream,shoulder,,,
915,Battlegear of the Darkiron Vigil,325143,Helm of the Darkiron Vigil,head,map_329_difficulty_0,boss_000482,map_329_difficulty_0
939,Battlegear of the Emerald Dream,325179,Helm of the Emerald Dream,head,,,
903,Regalia of the Wyrmrest Accord,325561,Robes of the Wyrmrest Accord,chest,,,
903,Regalia of the Wyrmrest Accord,325592,Cowl of the Wyrmrest Accord,head,,,
908,Harness of the Dragonblight Vanguard,326250,Shoulderpads of the Dragonblight Vanguard,shoulder,,,
939,Battlegear of the Emerald Dream,326530,Gauntlets of the Emerald Dream,hands,,,
914,Harness of the Twilight Reach,326850,Handguards of the Twilight Reach,hands,,,
903,Regalia of the Wyrmrest Accord,326919,Leggings of the Wyrmrest Accord,legs,,,
914,Harness of the Twilight Reach,326968,Shoulderpads of the Twilight Reach,shoulder,,,
939,Battlegear of the Emerald Dream,327581,Legplates of the Emerald Dream,legs,,,
915,Battlegear of the Darkiron Vigil,328442,Breastplate of the Darkiron Vigil,chest,map_329_difficulty_0,boss_000482,map_329_difficulty_0
914,Harness of the Twilight Reach,329101,Legguards of the Twilight Reach,legs,,,
908,Harness of the Dragonblight Vanguard,329213,Legguards of the Dragonblight Vanguard,legs,,,
915,Battlegear of the Darkiron Vigil,329313,Gauntlets of the Darkiron Vigil,hands,map_329_difficulty_0,boss_000482,map_329_difficulty_0
915,Battlegear of the Darkiron Vigil,329569,Legplates of the Darkiron Vigil,legs,map_329_difficulty_0,boss_000482,map_329_difficulty_0
941,Raiment of the Violet Citadel,340347,Gloves of the Violet Citadel,hands,,,
930,Raiment of the Crimson Dawn,340365,Cowl of the Crimson Dawn,head,,,
918,Regalia of the Wild Hunt,340671,Robes of the Wild Hunt,chest,map_230_difficulty_0,boss_000228,map_230_difficulty_0
924,Regalia of the Ancient North,340869,Cowl of the Ancient North,head,,,
910,Regalia of the Wildhammer Clan,340879,Leggings of the Wildhammer Clan,legs,,,
924,Regalia of the Ancient North,341055,Gloves of the Ancient North,hands,,,
924,Regalia of the Ancient North,341181,Leggings of the Ancient North,legs,,,
936,Vestments of the Emerald Dream,341593,Leggings of the Emerald Dream,legs,,,
918,Regalia of the Wild Hunt,341627,Mantle of the Wild Hunt,shoulder,map_230_difficulty_0,boss_000228,map_230_difficulty_0
910,Regalia of the Wildhammer Clan,341813,Mantle of the Wildhammer Clan,shoulder,,,
910,Regalia of the Wildhammer Clan,341844,Cowl of the Wildhammer Clan,head,,,
941,Raiment of the Violet Citadel,341905,Leggings of the Violet Citadel,legs,,,
924,Regalia of the Ancient North,343125,Robes of the Ancient North,chest,,,
918,Regalia of the Wild Hunt,343738,Leggings of the Wild Hunt,legs,map_230_difficulty_0,boss_000228,map_230_difficulty_0
918,Regalia of the Wild Hunt,344335,Gloves of the Wild Hunt,hands,map_230_difficulty_0,boss_000228,map_230_difficulty_0
918,Regalia of the Wild Hunt,344397,Cowl of the Wild Hunt,head,map_230_difficulty_0,boss_000228,map_230_difficulty_0
923,Regalia of the Moon Guard,344854,Robes of the Moon Guard,chest,,,
923,Regalia of the Moon Guard,344997,Leggings of the Moon Guard,legs,,,
936,Vestments of the Emerald Dream,345221,Mantle of the Emerald Dream,shoulder,,,
936,Vestments of the Emerald Dream,345484,Robes of the Emerald Dream,chest,,,
923,Regalia of the Moon Guard,345609,Gloves of the Moon Guard,hands,,,
924,Regalia of the Ancient North,345635,Mantle of the Ancient North,shoulder,,,
930,Raiment of the Crimson Dawn,345857,Gloves of the Crimson Dawn,hands,,,
936,Vestments of the Emerald Dream,345920,Cowl of the Emerald Dream,head,,,
910,Regalia of the Wildhammer Clan,346423,Robes of the Wildhammer Clan,chest,,,
941,Raiment of the Violet Citadel,346521,Cowl of the Violet Citadel,head,,,
910,Regalia of the Wildhammer Clan,346544,Gloves of the Wildhammer Clan,hands,,,
936,Vestments of the Emerald Dream,347039,Gloves of the Emerald Dream,hands,,,
923,Regalia of the Moon Guard,347170,Cowl of the Moon Guard,head,,,
941,Raiment of the Violet Citadel,347379,Mantle of the Violet Citadel,shoulder,,,
941,Raiment of the Violet Citadel,347657,Robes of the Violet Citadel,chest,,,
930,Raiment of the Crimson Dawn,348507,Mantle of the Crimson Dawn,shoulder,,,
930,Raiment of the Crimson Dawn,348774,Robes of the Crimson Dawn,chest,,,
923,Regalia of the Moon Guard,349004,Mantle of the Moon Guard,shoulder,,,
930,Raiment of the Crimson Dawn,349059,Leggings of the Crimson Dawn,legs,,,
926,Vestments of the Frostwolf Clan,360033,Leggings of the Frostwolf Clan,legs,,,
917,Raiment of the Black Citadel,360192,Robes of the Black Citadel,chest,map_230_difficulty_0,boss_000235,map_230_difficulty_0
917,Raiment of the Black Citadel,360887,Cowl of the Black Citadel,head,map_230_difficulty_0,boss_000235,map_230_difficulty_0
932,Raiment of the Bronzebeard Clan,361243,Cowl of the Bronzebeard Clan,head,map_209_difficulty_0,boss_000595,map_209_difficulty_0
932,Raiment of the Bronzebeard Clan,361403,Leggings of the Bronzebeard Clan,legs,map_209_difficulty_0,boss_000595,map_209_difficulty_0
917,Raiment of the Black Citadel,361731,Leggings of the Black Citadel,legs,map_230_difficulty_0,boss_000235,map_230_difficulty_0
917,Raiment of the Black Citadel,361745,Mantle of the Black Citadel,shoulder,map_230_difficulty_0,boss_000235,map_230_difficulty_0
916,Regalia of the Northwatch,362120,Leggings of the Northwatch,legs,,,
938,Raiment of the Drowned Hall,362208,Gloves of the Drowned Hall,hands,,,
916,Regalia of the Northwatch,362393,Gloves of the Northwatch,hands,,,
932,Raiment of the Bronzebeard Clan,362418,Gloves of the Bronzebeard Clan,hands,map_209_difficulty_0,boss_000595,map_209_difficulty_0
926,Vestments of the Frostwolf Clan,363131,Mantle of the Frostwolf Clan,shoulder,,,
916,Regalia of the Northwatch,363185,Mantle of the Northwatch,shoulder,,,
919,Raiment of the Icecrown Citadel,363198,Gloves of the Icecrown Citadel,hands,map_349_difficulty_0,boss_000426,map_349_difficulty_0
919,Raiment of the Icecrown Citadel,363700,Robes of the Icecrown Citadel,chest,map_349_difficulty_0,boss_000426,map_349_difficulty_0
919,Raiment of the Icecrown Citadel,363743,Leggings of the Icecrown Citadel,legs,map_349_difficulty_0,boss_000426,map_349_difficulty_0
926,Vestments of the Frostwolf Clan,364440,Gloves of the Frostwolf Clan,hands,,,
934,Regalia of the Warsong Clan,364444,Mantle of the Warsong Clan,shoulder,map_230_difficulty_0,boss_000239,map_230_difficulty_0
938,Raiment of the Drowned Hall,364950,Cowl of the Drowned Hall,head,,,
919,Raiment of the Icecrown Citadel,365077,Cowl of the Icecrown Citadel,head,map_349_difficulty_0,boss_000426,map_349_difficulty_0
934,Regalia of the Warsong Clan,365173,Leggings of the Warsong Clan,legs,map_230_difficulty_0,boss_000239,map_230_difficulty_0
926,Vestments of the Frostwolf Clan,365485,Robes of the Frostwolf Clan,chest,,,
919,Raiment of the Icecrown Citadel,365737,Mantle of the Icecrown Citadel,shoulder,map_349_difficulty_0,boss_000426,map_349_difficulty_0
934,Regalia of the Warsong Clan,366309,Robes of the Warsong Clan,chest,map_230_difficulty_0,boss_000239,map_230_difficulty_0
917,Raiment of the Black Citadel,366635,Gloves of the Black Citadel,hands,map_230_difficulty_0,boss_000235,map_230_difficulty_0
932,Raiment of the Bronzebeard Clan,367041,Robes of the Bronzebeard Clan,chest,map_209_difficulty_0,boss_000595,map_209_difficulty_0
932,Raiment of the Bronzebeard Clan,367902,Mantle of the Bronzebeard Clan,shoulder,map_209_difficulty_0,boss_000595,map_209_difficulty_0
938,Raiment of the Drowned Hall,368187,Mantle of the Drowned Hall,shoulder,,,
916,Regalia of the Northwatch,368469,Cowl of the Northwatch,head,,,
916,Regalia of the Northwatch,368852,Robes of the Northwatch,chest,,,
926,Vestments of the Frostwolf Clan,369632,Cowl of the Frostwolf Clan,head,,,
938,Raiment of the Drowned Hall,369767,Robes of the Drowned Hall,chest,,,
934,Regalia of the Warsong Clan,369823,Gloves of the Warsong Clan,hands,map_230_difficulty_0,boss_000239,map_230_difficulty_0
934,Regalia of the Warsong Clan,369881,Cowl of the Warsong Clan,head,map_230_difficulty_0,boss_000239,map_230_difficulty_0
938,Raiment of the Drowned Hall,369915,Leggings of the Drowned Hall,legs,,,
904,Raiment of the Lordaeron Guard,380025,Leggings of the Lordaeron Guard,legs,map_545_difficulty_1,boss_000314,map_545_difficulty_1
921,Battlegear of the Argent Vanguard,380062,Breastplate of the Argent Vanguard,chest,,,
937,Raiment of the Wintergrasp Guard,380163,Cowl of the Wintergrasp Guard,head,,,
921,Battlegear of the Argent Vanguard,380582,Helm of the Argent Vanguard,head,,,
912,Raiment of the Titan Forge,380875,Robes of the Titan Forge,chest,map_229_difficulty_0,boss_000269,map_229_difficulty_0
921,Battlegear of the Argent Vanguard,381240,Legplates of the Argent Vanguard,legs,,,
921,Battlegear of the Argent Vanguard,381364,Shoulderguards of the Argent Vanguard,shoulder,,,
937,Raiment of the Wintergrasp Guard,381463,Gloves of the Wintergrasp Guard,hands,,,
929,Raiment of the Ebon Watch,381683,Robes of the Ebon Watch,chest,map_329_difficulty_0,boss_000482,map_329_difficulty_0
912,Raiment of the Titan Forge,381991,Mantle of the Titan Forge,shoulder,map_229_difficulty_0,boss_000269,map_229_difficulty_0
929,Raiment of the Ebon Watch,382042,Mantle of the Ebon Watch,shoulder,map_329_difficulty_0,boss_000482,map_329_difficulty_0
937,Raiment of the Wintergrasp Guard,382597,Leggings of the Wintergrasp Guard,legs,,,
912,Raiment of the Titan Forge,382969,Gloves of the Titan Forge,hands,map_229_difficulty_0,boss_000269,map_229_difficulty_0
929,Raiment of the Ebon Watch,384379,Leggings of the Ebon Watch,legs,map_329_difficulty_0,boss_000482,map_329_difficulty_0
937,Raiment of the Wintergrasp Guard,384415,Robes of the Wintergrasp Guard,chest,,,
912,Raiment of the Titan Forge,384517,Leggings of the Titan Forge,legs,map_229_difficulty_0,boss_000269,map_229_difficulty_0
904,Raiment of the Lordaeron Guard,384826,Robes of the Lordaeron Guard,chest,map_545_difficulty_1,boss_000314,map_545_difficulty_1
904,Raiment of the Lordaeron Guard,384907,Cowl of the Lordaeron Guard,head,map_545_difficulty_1,boss_000314,map_545_difficulty_1
904,Raiment of the Lordaeron Guard,385027,Mantle of the Lordaeron Guard,shoulder,map_545_difficulty_1,boss_000314,map_545_difficulty_1
929,Raiment of the Ebon Watch,385854,Cowl of the Ebon Watch,head,map_329_difficulty_0,boss_000482,map_329_difficulty_0
904,Raiment of the Lordaeron Guard,386096,Gloves of the Lordaeron Guard,hands,map_545_difficulty_1,boss_000314,map_545_difficulty_1
937,Raiment of the Wintergrasp Guard,386201,Mantle of the Wintergrasp Guard,shoulder,,,
921,Battlegear of the Argent Vanguard,386735,Gauntlets of the Argent Vanguard,hands,,,
929,Raiment of the Ebon Watch,389330,Gloves of the Ebon Watch,hands,map_329_difficulty_0,boss_000482,map_329_difficulty_0
912,Raiment of the Titan Forge,389662,Cowl of the Titan Forge,head,map_229_difficulty_0,boss_000269,map_229_difficulty_0
