reference_entry,displayid,item_level,quality,source,earliest_expansion
1917,20435,10,2,item_template.sql,Classic
1928,20415,16,2,item_template.sql,Classic
1929,16848,18,2,item_template.sql,Classic
1933,20418,15,2,item_template.sql,Classic
1938,8565,22,2,item_template.sql,Classic
1944,17062,18,2,item_template.sql,Classic
1945,17189,18,2,item_template.sql,Classic
1955,6907,27,2,item_template.sql,Classic
1958,1759,17,2,item_template.sql,Classic
1974,16901,22,3,item_template.sql,Classic
1978,12813,27,3,item_template.sql,Classic
1988,25892,38,2,item_template.sql,Classic
1990,5533,36,2,item_template.sql,Classic
1993,14436,36,2,item_template.sql,Classic
1997,16670,34,2,item_template.sql,Classic
1998,20356,33,2,item_template.sql,Classic
2000,20251,35,2,item_template.sql,Classic
2011,20120,26,3,item_template.sql,Classic
2013,20373,26,2,item_template.sql,Classic
2016,1727,26,2,item_template.sql,Classic
2017,6738,28,2,item_template.sql,Classic
2036,17054,18,2,item_template.sql,Classic
2037,11447,18,2,item_template.sql,Classic
2041,8703,24,3,item_template.sql,Classic
2072,20363,27,2,item_template.sql,Classic
2073,19134,15,2,item_template.sql,Classic
2075,5218,12,2,item_template.sql,Classic
2077,28578,29,2,item_template.sql,Classic
2078,20157,18,2,item_template.sql,Classic
2079,19637,17,2,item_template.sql,Classic
2080,19400,34,2,item_template.sql,Classic
2087,17095,13,2,item_template.sql,Classic
2098,28718,27,3,item_template.sql,Classic
2123,14426,5,1,item_template.sql,Classic
2166,685,20,2,item_template.sql,Classic
2167,17178,20,2,item_template.sql,Classic
2168,16713,21,2,item_template.sql,Classic
2173,28227,5,1,item_template.sql,Classic
2175,8534,23,2,item_template.sql,Classic
2204,20038,17,2,item_template.sql,Classic
2218,20451,13,2,item_template.sql,Classic
2226,20372,27,2,item_template.sql,Classic
2231,16671,40,2,item_template.sql,Classic
2232,4272,25,2,item_template.sql,Classic
2233,18489,27,2,item_template.sql,Classic
2236,20345,25,3,item_template.sql,Classic
2256,5221,24,3,item_template.sql,Classic
2264,12830,30,3,item_template.sql,Classic
2271,20346,23,3,item_template.sql,Classic
2274,6883,17,2,item_template.sql,Classic
2275,13279,20,3,item_template.sql,Classic
2276,16996,37,3,item_template.sql,Classic
2277,3173,35,3,item_template.sql,Classic
2278,17190,31,3,item_template.sql,Classic
2280,20370,27,3,item_template.sql,Classic
2283,16831,15,2,item_template.sql,Classic
2300,9502,12,2,item_template.sql,Classic
2302,4713,8,1,item_template.sql,Classic
2307,17163,18,2,item_template.sql,Classic
2308,23028,15,2,item_template.sql,Classic
2309,13864,15,2,item_template.sql,Classic
2310,23025,13,2,item_template.sql,Classic
2311,17233,13,2,item_template.sql,Classic
2312,5406,15,2,item_template.sql,Classic
2314,9531,24,3,item_template.sql,Classic
2315,9530,20,2,item_template.sql,Classic
2316,23021,22,2,item_template.sql,Classic
2317,17214,20,2,item_template.sql,Classic
2504,8106,2,1,item_template.sql,Classic
2510,6594,3,1,item_template.sql,Classic
2545,3043,26,2,item_template.sql,Classic
2566,16666,27,2,item_template.sql,Classic
2569,17120,13,2,item_template.sql,Classic
2571,2486,7,1,item_template.sql,Classic
2572,12687,10,2,item_template.sql,Classic
2578,10891,14,2,item_template.sql,Classic
2580,23133,12,2,item_template.sql,Classic
2582,12394,17,2,item_template.sql,Classic
2583,13524,19,2,item_template.sql,Classic
2588,13253,20,1,item_template.sql,Classic
2694,28250,17,2,item_template.sql,Classic
2721,16826,32,3,item_template.sql,Classic
2800,21114,26,3,item_template.sql,Classic
2802,6484,43,3,item_template.sql,Classic
2805,23084,34,2,item_template.sql,Classic
2817,17103,12,2,item_template.sql,Classic
2818,1963,15,2,item_template.sql,Classic
2820,6540,50,2,item_template.sql,Classic
2850,3855,24,2,item_template.sql,Classic
2854,25851,19,2,item_template.sql,Classic
2857,25852,18,2,item_template.sql,Classic
2865,4333,21,2,item_template.sql,Classic
2866,23530,23,2,item_template.sql,Classic
2867,23532,23,2,item_template.sql,Classic
2870,23540,29,3,item_template.sql,Classic
2899,16949,15,2,item_template.sql,Classic
2908,20605,20,2,item_template.sql,Classic
2911,9898,23,3,item_template.sql,Classic
2912,20320,32,3,item_template.sql,Classic
2913,16828,28,2,item_template.sql,Classic
2917,9850,33,2,item_template.sql,Classic
2922,6564,20,1,item_template.sql,Classic
2933,9845,31,3,item_template.sql,Classic
2941,20359,26,3,item_template.sql,Classic
2949,16989,25,2,item_template.sql,Classic
2951,9851,36,3,item_template.sql,Classic
2954,14615,33,2,item_template.sql,Classic
2957,14499,11,2,item_template.sql,Classic
2958,14498,10,2,item_template.sql,Classic
2961,17093,11,2,item_template.sql,Classic
2962,17160,10,2,item_template.sql,Classic
2965,22677,11,2,item_template.sql,Classic
2966,7193,10,2,item_template.sql,Classic
2969,14524,17,2,item_template.sql,Classic
2970,14529,16,2,item_template.sql,Classic
2973,14539,17,2,item_template.sql,Classic
2976,14536,15,2,item_template.sql,Classic
2977,22689,16,2,item_template.sql,Classic
2978,22693,15,2,item_template.sql,Classic
2980,12450,15,2,item_template.sql,Classic
2981,14549,21,2,item_template.sql,Classic
2983,14552,17,2,item_template.sql,Classic
2984,16789,18,2,item_template.sql,Classic
2986,11369,20,2,item_template.sql,Classic
2987,11373,18,2,item_template.sql,Classic
2988,14411,19,2,item_template.sql,Classic
2989,25769,21,2,item_template.sql,Classic
2990,25768,21,2,item_template.sql,Classic
2992,16731,20,2,item_template.sql,Classic
3000,16888,10,2,item_template.sql,Classic
3001,18087,20,1,item_template.sql,Classic
3002,6338,30,1,item_template.sql,Classic
3004,6551,15,1,item_template.sql,Classic
3006,6521,25,1,item_template.sql,Classic
3011,13259,36,2,item_template.sql,Classic
3019,12682,18,2,item_template.sql,Classic
3020,21294,33,3,item_template.sql,Classic
3022,16534,23,2,item_template.sql,Classic
3036,5392,15,2,item_template.sql,Classic
3037,20653,34,2,item_template.sql,Classic
3039,20672,23,2,item_template.sql,Classic
3042,20734,33,2,item_template.sql,Classic
3045,25778,27,2,item_template.sql,Classic
3048,11525,26,2,item_template.sql,Classic
3049,25780,27,2,item_template.sql,Classic
3056,16954,26,2,item_template.sql,Classic
3057,16984,24,2,item_template.sql,Classic
3065,27547,23,2,item_template.sql,Classic
3068,16824,32,2,item_template.sql,Classic
3069,27554,27,2,item_template.sql,Classic
3072,16694,26,2,item_template.sql,Classic
3073,16846,26,2,item_template.sql,Classic
3074,12420,24,2,item_template.sql,Classic
3075,15322,55,4,item_template.sql,Classic
3079,20738,12,2,item_template.sql,Classic
3160,3304,15,2,item_template.sql,Classic
3166,12965,15,2,item_template.sql,Classic
3185,20362,34,2,item_template.sql,Classic
3192,26590,12,2,item_template.sql,Classic
3195,8499,18,2,item_template.sql,Classic
3198,8585,23,2,item_template.sql,Classic
3202,10216,24,2,item_template.sql,Classic
3203,5228,28,3,item_template.sql,Classic
3205,14410,17,2,item_template.sql,Classic
3206,20186,28,2,item_template.sql,Classic
3211,25766,19,2,item_template.sql,Classic
3212,25779,26,2,item_template.sql,Classic
3217,16787,15,2,item_template.sql,Classic
3222,20607,19,2,item_template.sql,Classic
3223,19624,11,2,item_template.sql,Classic
3229,9917,23,2,item_template.sql,Classic
3230,17166,26,3,item_template.sql,Classic
3235,9840,20,2,item_template.sql,Classic
3274,16587,5,1,item_template.sql,Classic
3282,26932,12,2,item_template.sql,Classic
3283,26933,13,2,item_template.sql,Classic
3287,28591,12,2,item_template.sql,Classic
3288,27996,13,2,item_template.sql,Classic
3291,14511,13,2,item_template.sql,Classic
3292,14513,13,2,item_template.sql,Classic
3302,26944,15,2,item_template.sql,Classic
3306,26949,18,2,item_template.sql,Classic
3307,11060,15,2,item_template.sql,Classic
3308,16592,15,2,item_template.sql,Classic
3309,16591,16,2,item_template.sql,Classic
3310,16590,18,2,item_template.sql,Classic
3313,28047,18,2,item_template.sql,Classic
3314,14546,15,2,item_template.sql,Classic
3315,14547,17,2,item_template.sql,Classic
3323,16906,8,1,item_template.sql,Classic
3324,21457,28,2,item_template.sql,Classic
3330,12971,13,2,item_template.sql,Classic
3344,4511,15,2,item_template.sql,Classic
3345,15912,37,2,item_template.sql,Classic
3392,21310,30,2,item_template.sql,Classic
3417,20174,26,3,item_template.sql,Classic
3429,4532,24,2,item_template.sql,Classic
3431,17092,25,2,item_template.sql,Classic
3440,6806,13,2,item_template.sql,Classic
3446,20419,13,2,item_template.sql,Classic
3449,23127,15,2,item_template.sql,Classic
3452,5120,22,2,item_template.sql,Classic
3458,6982,18,2,item_template.sql,Classic
3471,13090,10,2,item_template.sql,Classic
3472,25850,12,2,item_template.sql,Classic
3473,25849,13,2,item_template.sql,Classic
3474,9390,15,2,item_template.sql,Classic
3482,9404,26,2,item_template.sql,Classic
3485,9414,30,2,item_template.sql,Classic
3494,7430,1,0,item_template.sql,Classic
3511,23020,15,2,item_template.sql,Classic
3529,12906,1,1,item_template.sql,Classic
3533,6762,1,1,item_template.sql,Classic
3536,13564,1,1,item_template.sql,Classic
3543,6723,1,1,item_template.sql,Classic
3556,16544,30,2,item_template.sql,Classic
3558,16528,25,2,item_template.sql,Classic
3559,11626,21,2,item_template.sql,Classic
3560,20715,35,2,item_template.sql,Classic
3562,16910,27,2,item_template.sql,Classic
3565,14127,20,2,item_template.sql,Classic
3566,17101,29,2,item_template.sql,Classic
3569,18122,26,2,item_template.sql,Classic
3571,19546,21,2,item_template.sql,Classic
3578,9380,15,2,item_template.sql,Classic
3582,23085,18,2,item_template.sql,Classic
3585,16876,22,2,item_template.sql,Classic
3599,16832,5,1,item_template.sql,Classic
3600,16929,5,1,item_template.sql,Classic
3645,16915,17,2,item_template.sql,Classic
3647,14566,23,2,item_template.sql,Classic
3652,18488,14,2,item_template.sql,Classic
3654,18657,14,2,item_template.sql,Classic
3739,16132,25,2,item_template.sql,Classic
3741,17164,24,2,item_template.sql,Classic
3742,20667,28,2,item_template.sql,Classic
3748,10169,26,3,item_template.sql,Classic
3749,23118,30,2,item_template.sql,Classic
3750,8732,30,2,item_template.sql,Classic
3751,3083,30,2,item_template.sql,Classic
3752,8666,22,2,item_template.sql,Classic
3753,17129,34,2,item_template.sql,Classic
3754,17186,33,2,item_template.sql,Classic
3759,16944,33,2,item_template.sql,Classic
3764,3750,40,2,item_template.sql,Classic
3765,6971,40,2,item_template.sql,Classic
3835,9417,33,2,item_template.sql,Classic
3837,15333,38,2,item_template.sql,Classic
3843,9242,34,2,item_template.sql,Classic
3849,5153,32,2,item_template.sql,Classic
3850,20215,35,2,item_template.sql,Classic
3852,15468,34,2,item_template.sql,Classic
3854,20252,40,2,item_template.sql,Classic
3855,8528,37,2,item_template.sql,Classic
3856,8533,40,2,item_template.sql,Classic
3884,13249,22,1,item_template.sql,Classic
3885,13278,22,1,item_template.sql,Classic
3902,20412,18,2,item_template.sql,Classic
3985,16829,40,2,item_template.sql,Classic
4035,16643,31,2,item_template.sql,Classic
4036,4607,27,2,item_template.sql,Classic
4038,27557,37,2,item_template.sql,Classic
4039,15298,35,2,item_template.sql,Classic
4040,14623,34,2,item_template.sql,Classic
4042,14661,39,2,item_template.sql,Classic
4044,14659,40,2,item_template.sql,Classic
4045,14680,42,2,item_template.sql,Classic
4046,14685,45,2,item_template.sql,Classic
4047,14679,43,2,item_template.sql,Classic
4048,17199,31,2,item_template.sql,Classic
4050,17141,31,2,item_template.sql,Classic
4051,17161,30,2,item_template.sql,Classic
4052,21304,35,2,item_template.sql,Classic
4054,17149,35,2,item_template.sql,Classic
4055,3036,34,2,item_template.sql,Classic
4057,16890,36,2,item_template.sql,Classic
4058,14674,41,2,item_template.sql,Classic
4059,14673,37,2,item_template.sql,Classic
4072,25802,30,2,item_template.sql,Classic
4073,25804,31,2,item_template.sql,Classic
4077,25825,35,2,item_template.sql,Classic
4079,25896,40,2,item_template.sql,Classic
4080,15290,45,2,item_template.sql,Classic
4082,26074,47,2,item_template.sql,Classic
4107,4438,37,2,item_template.sql,Classic
4109,16983,41,2,item_template.sql,Classic
4114,15246,42,2,item_template.sql,Classic
4117,16830,44,2,item_template.sql,Classic
4118,6976,50,2,item_template.sql,Classic
4119,17100,43,2,item_template.sql,Classic
4121,14323,35,2,item_template.sql,Classic
4124,21293,40,2,item_template.sql,Classic
4131,17115,44,2,item_template.sql,Classic
4132,6884,37,2,item_template.sql,Classic
4134,20294,46,3,item_template.sql,Classic
4135,6486,35,2,item_template.sql,Classic
4137,4835,42,2,item_template.sql,Classic
4139,16822,37,2,item_template.sql,Classic
4140,4869,34,2,item_template.sql,Classic
4196,4483,30,3,item_template.sql,Classic
4239,9503,13,2,item_template.sql,Classic
4242,9505,15,2,item_template.sql,Classic
4243,9511,17,2,item_template.sql,Classic
4246,9513,16,2,item_template.sql,Classic
4247,2362,29,2,item_template.sql,Classic
4248,9526,26,2,item_template.sql,Classic
4250,17237,25,2,item_template.sql,Classic
4251,11274,26,2,item_template.sql,Classic
4252,12403,28,2,item_template.sql,Classic
4253,27881,27,3,item_template.sql,Classic
4256,9545,35,2,item_template.sql,Classic
4257,17224,32,2,item_template.sql,Classic
4258,9538,34,2,item_template.sql,Classic
4260,9550,39,2,item_template.sql,Classic
4262,17218,37,3,item_template.sql,Classic
4264,17111,40,2,item_template.sql,Classic
4290,4400,18,2,item_template.sql,Classic
4303,19615,12,2,item_template.sql,Classic
4307,6295,10,2,item_template.sql,Classic
4308,8089,12,2,item_template.sql,Classic
4309,12395,14,2,item_template.sql,Classic
4310,12865,17,2,item_template.sql,Classic
4311,23117,21,2,item_template.sql,Classic
4313,4615,20,2,item_template.sql,Classic
4314,9997,22,2,item_template.sql,Classic
4315,17135,24,2,item_template.sql,Classic
4316,6297,22,2,item_template.sql,Classic
4317,12399,25,2,item_template.sql,Classic
4318,6291,26,2,item_template.sql,Classic
4319,17130,29,2,item_template.sql,Classic
4320,4301,24,3,item_template.sql,Classic
4321,17138,28,2,item_template.sql,Classic
4322,15314,33,2,item_template.sql,Classic
4326,15076,37,2,item_template.sql,Classic
4328,17136,36,2,item_template.sql,Classic
4329,6315,40,2,item_template.sql,Classic
4343,12388,10,2,item_template.sql,Classic
4362,6600,10,2,item_template.sql,Classic
4368,13236,20,2,item_template.sql,Classic
4373,26619,24,2,item_template.sql,Classic
4379,15835,26,2,item_template.sql,Classic
4381,22293,28,2,item_template.sql,Classic
4385,22422,30,2,item_template.sql,Classic
4393,13215,37,2,item_template.sql,Classic
4396,21632,40,2,item_template.sql,Classic
4397,7841,40,2,item_template.sql,Classic
4436,9912,21,2,item_template.sql,Classic
4437,20390,20,2,item_template.sql,Classic
4438,6977,30,3,item_template.sql,Classic
4439,6795,22,2,item_template.sql,Classic
4443,11327,36,2,item_template.sql,Classic
4446,20369,26,3,item_template.sql,Classic
4447,23019,26,2,item_template.sql,Classic
4448,4723,27,2,item_template.sql,Classic
4449,20439,27,2,item_template.sql,Classic
4455,14261,33,2,item_template.sql,Classic
4456,17231,33,2,item_template.sql,Classic
4462,23098,31,2,item_template.sql,Classic
4465,6844,32,2,item_template.sql,Classic
4476,12650,34,2,item_template.sql,Classic
4478,4744,45,2,item_template.sql,Classic
4508,8639,42,3,item_template.sql,Classic
4509,17185,40,2,item_template.sql,Classic
4511,19783,40,2,item_template.sql,Classic
4535,9838,31,2,item_template.sql,Classic
4543,21313,40,2,item_template.sql,Classic
4545,16892,40,2,item_template.sql,Classic
4566,20420,13,2,item_template.sql,Classic
4569,19778,14,2,item_template.sql,Classic
4577,6592,13,2,item_template.sql,Classic
4614,9859,35,2,item_template.sql,Classic
4643,15079,33,2,item_template.sql,Classic
4659,11131,8,1,item_template.sql,Classic
4660,6322,18,2,item_template.sql,Classic
4676,6991,17,2,item_template.sql,Classic
4695,26048,18,2,item_template.sql,Classic
4697,25767,20,2,item_template.sql,Classic
4699,14555,18,2,item_template.sql,Classic
4701,23044,16,2,item_template.sql,Classic
4706,25979,24,2,item_template.sql,Classic
4707,25781,26,2,item_template.sql,Classic
4709,8098,25,2,item_template.sql,Classic
4710,23029,22,2,item_template.sql,Classic
4712,25803,29,2,item_template.sql,Classic
4713,23140,26,2,item_template.sql,Classic
4715,23024,27,2,item_template.sql,Classic
4717,25813,34,2,item_template.sql,Classic
4718,16652,35,2,item_template.sql,Classic
4719,18131,32,2,item_template.sql,Classic
4720,14624,33,2,item_template.sql,Classic
4721,17193,35,2,item_template.sql,Classic
4724,21302,30,2,item_template.sql,Classic
4725,25897,40,2,item_template.sql,Classic
4726,25900,36,2,item_template.sql,Classic
4727,25895,38,2,item_template.sql,Classic
4731,14677,39,2,item_template.sql,Classic
4732,23031,37,2,item_template.sql,Classic
4733,26078,46,2,item_template.sql,Classic
4734,11638,43,2,item_template.sql,Classic
4735,23125,41,2,item_template.sql,Classic
4737,17192,44,2,item_template.sql,Classic
4738,16921,42,2,item_template.sql,Classic
4741,4912,37,2,item_template.sql,Classic
4743,6546,50,3,item_template.sql,Classic
4744,16925,39,2,item_template.sql,Classic
4745,7005,40,2,item_template.sql,Classic
4766,5154,13,2,item_template.sql,Classic
4767,3528,15,2,item_template.sql,Classic
4768,16946,15,2,item_template.sql,Classic
4771,23012,15,2,item_template.sql,Classic
4777,19538,18,2,item_template.sql,Classic
4778,6808,19,2,item_template.sql,Classic
4782,16812,18,2,item_template.sql,Classic
4786,16833,20,2,item_template.sql,Classic
4788,4024,20,2,item_template.sql,Classic
4795,6756,25,2,item_template.sql,Classic
4796,6758,25,2,item_template.sql,Classic
4797,15161,25,2,item_template.sql,Classic
4798,15206,25,2,item_template.sql,Classic
4799,23087,23,2,item_template.sql,Classic
4810,19911,37,2,item_template.sql,Classic
4816,4978,24,2,item_template.sql,Classic
4824,8459,27,2,item_template.sql,Classic
4825,8461,29,2,item_template.sql,Classic
4831,17154,26,2,item_template.sql,Classic
4832,22428,29,2,item_template.sql,Classic
4833,6929,28,2,item_template.sql,Classic
4835,6912,30,2,item_template.sql,Classic
4853,15330,5,1,item_template.sql,Classic
4861,5243,10,2,item_template.sql,Classic
4908,17169,5,1,item_template.sql,Classic
4913,9920,5,1,item_template.sql,Classic
4919,16799,5,1,item_template.sql,Classic
4928,17017,8,1,item_template.sql,Classic
4947,20603,11,2,item_template.sql,Classic
4951,16938,7,1,item_template.sql,Classic
4954,16932,5,1,item_template.sql,Classic
4971,8572,12,2,item_template.sql,Classic
4976,28287,40,2,item_template.sql,Classic
4977,20009,41,2,item_template.sql,Classic
4978,19741,36,2,item_template.sql,Classic
4979,5434,42,2,item_template.sql,Classic
4980,5435,37,2,item_template.sql,Classic
4990,16934,50,2,item_template.sql,Classic
4998,9834,24,2,item_template.sql,Classic
5005,9658,35,2,item_template.sql,Classic
5008,9843,36,2,item_template.sql,Classic
5069,6097,12,2,item_template.sql,Classic
5071,18356,14,2,item_template.sql,Classic
5111,18133,15,2,item_template.sql,Classic
5112,20491,15,2,item_template.sql,Classic
5180,6494,34,2,item_template.sql,Classic
5181,23142,33,2,item_template.sql,Classic
5191,7311,24,3,item_template.sql,Classic
5192,5144,22,3,item_template.sql,Classic
5195,16966,22,3,item_template.sql,Classic
5196,13913,22,3,item_template.sql,Classic
5197,20953,21,3,item_template.sql,Classic
5199,1978,21,3,item_template.sql,Classic
5200,5949,22,3,item_template.sql,Classic
5201,20340,23,3,item_template.sql,Classic
5207,20903,20,2,item_template.sql,Classic
5213,20907,35,2,item_template.sql,Classic
5214,21020,32,2,item_template.sql,Classic
5216,20790,45,2,item_template.sql,Classic
5222,6001,28,1,item_template.sql,Classic
5240,6101,21,2,item_template.sql,Classic
5250,6140,28,2,item_template.sql,Classic
5252,20825,21,2,item_template.sql,Classic
5257,23000,37,3,item_template.sql,Classic
5275,7545,15,2,item_template.sql,Classic
5279,20411,20,2,item_template.sql,Classic
5299,17223,20,2,item_template.sql,Classic
5306,7524,20,2,item_template.sql,Classic
5309,7531,20,2,item_template.sql,Classic
5311,17159,21,2,item_template.sql,Classic
5312,7540,20,2,item_template.sql,Classic
5313,7544,25,2,item_template.sql,Classic
5315,28200,18,2,item_template.sql,Classic
5317,8658,25,2,item_template.sql,Classic
5318,22225,20,2,item_template.sql,Classic
5324,8576,16,2,item_template.sql,Classic
5327,16958,18,2,item_template.sql,Classic
5328,7563,15,2,item_template.sql,Classic
5337,19899,16,2,item_template.sql,Classic
5340,20417,15,2,item_template.sql,Classic
5341,8717,15,2,item_template.sql,Classic
5343,23088,18,2,item_template.sql,Classic
5344,8485,14,2,item_template.sql,Classic
5345,8602,14,2,item_template.sql,Classic
5346,20719,14,2,item_template.sql,Classic
5351,6011,20,2,item_template.sql,Classic
5355,7662,28,2,item_template.sql,Classic
5387,23108,20,2,item_template.sql,Classic
5404,6729,23,3,item_template.sql,Classic
5422,16974,20,2,item_template.sql,Classic
5425,7932,20,3,item_template.sql,Classic
5426,19396,20,3,item_template.sql,Classic
5444,15089,19,3,item_template.sql,Classic
5459,5014,13,2,item_template.sql,Classic
5541,19801,28,2,item_template.sql,Classic
5609,6755,22,2,item_template.sql,Classic
5613,20384,23,2,item_template.sql,Classic
5614,20182,31,2,item_template.sql,Classic
5617,6718,13,2,item_template.sql,Classic
5622,14432,22,2,item_template.sql,Classic
5624,15905,38,2,item_template.sql,Classic
5627,20354,20,2,item_template.sql,Classic
5739,12368,38,2,item_template.sql,Classic
5742,20569,40,2,item_template.sql,Classic
5750,8749,23,2,item_template.sql,Classic
5752,20596,26,2,item_template.sql,Classic
5753,8753,31,2,item_template.sql,Classic
5754,7093,31,2,item_template.sql,Classic
5755,8719,35,2,item_template.sql,Classic
5757,8803,20,2,item_template.sql,Classic
5780,8905,18,2,item_template.sql,Classic
5782,22393,34,2,item_template.sql,Classic
5783,8912,38,2,item_template.sql,Classic
5814,16899,30,2,item_template.sql,Classic
5817,9060,30,2,item_template.sql,Classic
5819,15810,33,3,item_template.sql,Classic
5820,9077,32,2,item_template.sql,Classic
5821,16982,24,2,item_template.sql,Classic
5822,9082,24,2,item_template.sql,Classic
5943,9378,25,3,item_template.sql,Classic
5944,7554,15,2,item_template.sql,Classic
5958,9514,21,2,item_template.sql,Classic
5961,12402,23,2,item_template.sql,Classic
5963,17212,34,2,item_template.sql,Classic
5965,23033,37,2,item_template.sql,Classic
5967,9552,18,2,item_template.sql,Classic
5969,23059,23,2,item_template.sql,Classic
5970,19128,23,3,item_template.sql,Classic
5971,23026,26,2,item_template.sql,Classic
5975,9584,23,2,item_template.sql,Classic
6058,8419,5,1,item_template.sql,Classic
6070,17173,5,1,item_template.sql,Classic
6084,9738,13,2,item_template.sql,Classic
6085,11368,13,2,item_template.sql,Classic
6087,9742,24,3,item_template.sql,Classic
6092,49990,18,2,item_template.sql,Classic
6095,11548,24,2,item_template.sql,Classic
6171,9374,5,1,item_template.sql,Classic
6173,16809,5,1,item_template.sql,Classic
6179,15166,19,2,item_template.sql,Classic
6188,10434,15,2,item_template.sql,Classic
6191,10454,23,2,item_template.sql,Classic
6195,12944,15,2,item_template.sql,Classic
6197,2644,22,2,item_template.sql,Classic
6199,10530,24,2,item_template.sql,Classic
6204,13266,32,2,item_template.sql,Classic
6226,12652,23,3,item_template.sql,Classic
6238,12389,10,2,item_template.sql,Classic
6240,12387,12,2,item_template.sql,Classic
6241,17123,10,2,item_template.sql,Classic
6243,12393,18,2,item_template.sql,Classic
6263,11182,20,2,item_template.sql,Classic
6264,12716,23,2,item_template.sql,Classic
6266,16560,13,2,item_template.sql,Classic
6267,16561,12,2,item_template.sql,Classic
6268,17098,13,2,item_template.sql,Classic
6269,17152,12,2,item_template.sql,Classic
6282,11166,32,2,item_template.sql,Classic
6314,23082,27,3,item_template.sql,Classic
6318,20335,26,3,item_template.sql,Classic
6319,11253,26,3,item_template.sql,Classic
6321,14433,26,3,item_template.sql,Classic
6323,21051,25,3,item_template.sql,Classic
6324,12696,29,3,item_template.sql,Classic
6335,11330,29,2,item_template.sql,Classic
6336,3057,13,2,item_template.sql,Classic
6337,3058,12,2,item_template.sql,Classic
6350,6885,18,2,item_template.sql,Classic
6360,11453,25,2,item_template.sql,Classic
6378,23139,17,2,item_template.sql,Classic
6379,16922,17,2,item_template.sql,Classic
6381,27549,23,2,item_template.sql,Classic
6382,16916,23,2,item_template.sql,Classic
6388,25806,30,2,item_template.sql,Classic
6389,15517,31,2,item_template.sql,Classic
6392,11533,29,3,item_template.sql,Classic
6394,11571,27,2,item_template.sql,Classic
6395,13677,29,2,item_template.sql,Classic
6396,14602,32,2,item_template.sql,Classic
6397,14603,29,2,item_template.sql,Classic
