entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets
200098,Warrior,Argent Defender's Greatcloak,3,67,115,strength_dps,back,,16,1,40917,29140,115,59,0.0,
200099,Warrior,Brutal Colossal Maul,2,54,55,tank,2h_mace,2h_mace,17,5,28311,15264,56,0,42.344,
200100,Warrior,Brilliant Cuirass,2,60,90,strength_dps,armor,,5,4,40769,24936,87,531,0.0,8
200101,Warrior,The Doomforged Chausses,2,1,2,strength_dps,armor,,7,3,26941,15477,11,3,0.0,
200102,Warrior,Stonehewn Royal Band of Pale Crown,2,18,20,strength_dps,finger,,11,0,9840,3235,20,0,0.0,
200103,Warrior,Grave Shard Headplate,3,74,154,strength_dps,armor,,1,4,48058,34400,159,834,0.0,
200104,Warrior,"Baleful Coif, Highkeeper's Oath",2,26,29,strength_dps,armor,,1,3,27042,15540,34,56,0.0,
200105,Warrior,Coldhearted Handaxe,2,11,16,tank,1h_axe,1h_axe,13,0,8496,3489,17,0,7.885,
200106,Warrior,Twilight Chausses of the Moon Watch,2,30,35,strength_dps,armor,,7,3,25812,6402,36,84,0.0,
200107,Warrior,Earthwarden's Hollow Bell,3,23,24,strength_dps,trinket,,12,0,7248,21568,25,0,0.0,
200108,Warrior,Mantle of the Blood Memory,2,12,13,tank,back,,16,1,28209,10638,15,5,0.0,
200109,Warrior,Lost Keeper's Headguard,2,38,43,strength_dps,armor,,1,3,28175,14774,43,92,0.0,
200110,Warrior,Deep Shadow Greaves,2,30,37,strength_dps,armor,,8,3,25860,7458,37,60,0.0,
200111,Warrior,White Ward Mantle,2,59,83,strength_dps,back,,16,1,40775,25030,81,35,0.0,
200112,Warrior,Ancient Warden's Berserker Legplates,3,73,148,strength_dps,armor,,7,4,52483,37786,150,909,0.0,
200113,Warrior,Highborne Shoulder Guards,3,24,26,strength_dps,armor,,3,3,28444,13131,29,46,0.0,
200114,Warrior,The Goldbound Greathelm,3,76,169,tank,armor,,1,4,52304,40293,162,952,0.0,
200115,Warrior,Duskwarden's Visor,4,73,152,strength_dps,armor,,1,4,49686,33730,146,913,0.0,
200116,Warrior,Rimebound Greathelm of Ice Moon,4,79,192,strength_dps,armor,,1,4,60478,47220,200,1146,0.0,
200117,Warrior,Skyforged Shoulder Guards of the Mana Tide,2,31,35,strength_dps,armor,,3,3,28454,16793,38,59,0.0,
200118,Warrior,Baneful Legmail,2,8,15,strength_dps,armor,,7,3,9738,6084,13,31,0.0,
200119,Warrior,Kingsguard's Hallowed Capelet,4,80,232,tank,back,,16,1,59001,46320,226,151,0.0,
200120,Warrior,Choker of the Rime King,2,72,142,strength_dps,neck,,2,0,49267,35936,138,0,0.0,2
200121,Warrior,Rimelord's Battleplate,3,56,58,tank,armor,,5,4,19893,10845,54,357,0.0,
200122,Warrior,Siegebound Treads of the Moon Spirit,3,23,30,tank,armor,,8,3,34395,20129,33,49,0.0,
200123,Warrior,The Northwind Great Claymore,2,2,9,tank,2h_sword,2h_sword,17,8,35962,23423,10,0,6.406,
200124,Warrior,Dragonforged Headplate of the Blood Crown,3,64,107,tank,armor,,1,4,42994,30016,106,543,0.0,8
200125,Warrior,Iron King's Orb,4,75,169,strength_dps,trinket,,12,0,36444,40767,167,0,0.0,2|4
200126,Warrior,Sky Bite Great Pauldrons,2,50,57,tank,armor,,3,4,27396,8319,55,186,0.0,
200127,Warrior,Wyrmscale Greaves,2,70,133,strength_dps,armor,,7,4,51663,36304,134,716,0.0,4
200128,Warrior,Sepulchral Surcoat of Bone Throne,3,10,13,tank,armor,,5,3,12971,3330,13,34,0.0,
200129,Warrior,Runestone of the Crimson Banner,2,51,57,tank,trinket,,12,0,2516,10659,57,0,0.0,
200130,Warrior,"Warped Warcloak, Ironcaller's Oath",3,24,25,tank,back,,16,1,23082,6314,27,10,0.0,
200131,Warrior,Cloak of the Hidden Vault,2,11,17,tank,back,,16,1,23085,3582,18,6,0.0,
200132,Warrior,Primal Fist Band,2,32,39,strength_dps,finger,,11,0,9849,11986,39,0,0.0,
200133,Warrior,Unwavering Armplates of the Ebon Watch,2,71,134,strength_dps,armor,,3,4,49473,35843,138,528,0.0,
200134,Warrior,Calm Surcoat of the Ghost King,2,3,10,strength_dps,armor,,5,3,13090,3471,10,23,0.0,
200135,Warrior,Helm of the Silver Watch,2,70,133,tank,armor,,1,4,51184,37513,138,608,0.0,
200136,Warrior,Chillborn War Leggings,2,20,22,strength_dps,armor,,7,3,26995,15503,22,48,0.0,
200137,Warrior,The Skullforged Epaulets,2,32,38,tank,armor,,3,3,6919,4123,37,67,0.0,
200138,Warrior,Stormshard Singer Warbelt,2,3,8,tank,armor,,6,3,6864,26039,15,9,0.0,
200139,Warrior,Hearthwarden's Northforged Footguards,2,10,17,strength_dps,armor,,8,3,6885,6350,18,24,0.0,
200140,Warrior,Bearwarden's Girdle of the Raven Queen,3,65,109,tank,armor,,6,4,43702,31195,103,367,0.0,
200141,Warrior,The Coldfire Greathelm,4,75,163,tank,armor,,1,4,48033,34345,164,995,0.0,
200142,Warrior,"Manaforged Carapace, Wyrm King's Oath",4,80,219,tank,armor,,5,4,58264,46213,219,1869,0.0,
200143,Warrior,Legguards of the Grave King,3,74,162,tank,armor,,7,4,54196,43163,158,1044,0.0,
200144,Warrior,Mail of the Silver Pact,3,23,29,strength_dps,armor,,5,3,23540,2870,29,83,0.0,
200145,Warrior,The Rime-coated Chain,2,14,18,strength_dps,neck,,2,0,6539,25438,18,0,0.0,
200146,Warrior,Silent Queen's Ferocious Titan Hammer,2,22,29,strength_dps,2h_mace,2h_mace,17,5,18269,1991,34,0,19.375,
200147,Warrior,Titan Keeper's Wargrips of the Bone Lord,2,38,44,tank,armor,,10,3,16515,8204,45,60,0.0,
200148,Warrior,Great Chopper of Thunder Bluff,2,67,114,strength_dps,2h_axe,2h_axe,17,1,40302,25223,114,0,82.083,
200149,Warrior,The Howling Battle Axe,2,9,15,tank,1h_axe,1h_axe,13,0,19135,6966,15,0,7.963,
200150,Warrior,Star Keeper Execution Blade,2,23,29,tank,2h_sword,2h_sword,17,8,20186,3206,28,0,19.219,
200151,Warrior,Feathered Keepsake,2,62,96,strength_dps,trinket,,12,0,44237,31615,102,0,0.0,
200152,Warrior,Ghostcaller's Helm,2,35,42,tank,armor,,1,3,27789,9902,41,87,0.0,
200153,Warrior,Wargrips of the Old Road,2,28,33,strength_dps,armor,,10,3,26036,7421,33,43,0.0,
200154,Warrior,High Starfall Carapace,4,77,176,strength_dps,armor,,5,4,54810,41129,179,1458,0.0,
200155,Warrior,"Arcanized Greaves, Wolfcaller's Oath",3,79,193,tank,armor,,7,4,55835,40838,200,1284,0.0,2
200156,Warrior,Battlelord's Crusher of the Drowned Hall,4,80,213,strength_dps,2h_mace,2h_mace,17,5,56955,42322,213,0,202.973,
200157,Warrior,Lightcaller's Clawmarked Grips,2,21,24,tank,armor,,10,3,6930,2230,24,30,0.0,
200158,Warrior,Faceguard of Eternal Watch,2,66,115,tank,armor,,1,4,41928,30337,114,517,0.0,
200159,Warrior,"Royal Cloak, Bright Lord",2,28,32,strength_dps,back,,16,1,27700,15354,32,12,0.0,
200160,Warrior,The Spellbound War Greaves,2,60,90,strength_dps,armor,,8,4,39451,23487,96,294,0.0,
200161,Warrior,Promise of the Dawnwatch,2,56,60,strength_dps,finger,,11,0,31906,30422,53,0,0.0,
200162,Warrior,Iron Dream Battleplate Legguards,2,47,48,strength_dps,armor,,7,4,27900,14908,48,221,0.0,
200163,Warrior,Hauberk of Astral Gate,2,2,5,tank,armor,,5,3,13090,3471,10,11,0.0,
200164,Warrior,Winter Reaver Breastplate,2,64,106,tank,armor,,5,4,39409,24984,105,623,0.0,
200165,Warrior,The Emberforged Footplates,3,80,219,tank,armor,,8,4,63410,47511,219,955,0.0,
200166,Warrior,Rootbound Wargrips,3,78,183,strength_dps,armor,,10,4,54076,41114,179,687,0.0,
200167,Warrior,"Deepdelver Legguards, Lost Knight's Oath",3,69,126,strength_dps,armor,,7,4,47015,33501,128,736,0.0,
200168,Warrior,Unyielding Ringlet of Last King,2,79,196,strength_dps,finger,,11,0,56558,43926,174,0,0.0,
200169,Warrior,Pale Raider Axe of the Crypt Lord,2,13,18,tank,1h_axe,1h_axe,13,0,19276,1927,15,0,9.615,
200170,Warrior,Warborn Carapace,3,74,161,tank,armor,,5,4,56787,44357,167,1186,0.0,
200171,Warrior,The Glasslike Bracers,2,14,17,strength_dps,armor,,9,3,25851,2854,19,12,0.0,
200172,Warrior,Astral Mail of the Winter Watch,2,18,20,strength_dps,armor,,5,3,12282,6502,22,50,0.0,
200173,Warrior,Sun Queen's Armplates,3,55,56,tank,armor,,3,4,23704,13166,60,213,0.0,
200174,Warrior,Duskcaller's Band of the Bone Ritual,2,39,45,strength_dps,finger,,11,0,26391,15689,35,0,0.0,
200175,Warrior,Dread Drape of Second Dawn,2,79,188,strength_dps,back,,16,1,50062,36416,182,98,0.0,2
200176,Warrior,Death Glyph Helm,2,72,140,strength_dps,armor,,1,4,51527,37473,138,661,0.0,
200177,Warrior,Drakescale Wargrips of White Banner,2,35,38,strength_dps,armor,,10,3,27791,9900,40,50,0.0,
200178,Warrior,Moonforged Leggings of Pale King,3,34,37,strength_dps,armor,,7,3,4912,4741,37,94,0.0,
200179,Warrior,Guard of Ironforge Mountain,4,74,157,tank,shield,,14,6,45204,30909,151,4917,0.0,
200180,Warrior,Warhelm of Golden Flame,3,23,25,strength_dps,armor,,1,3,28440,13127,32,55,0.0,
200181,Warrior,"Bitter Fetish, Warmaster's Oath",2,26,29,tank,trinket,,12,0,22293,4381,28,0,0.0,
200182,Warrior,Ghostcaller's Carapace,3,43,50,strength_dps,armor,,5,4,30675,18312,59,291,0.0,
200183,Warrior,Ebon Knuckle Cape,3,35,40,tank,back,,16,1,23000,5257,37,17,0.0,
200184,Warrior,Soulshard Blood Footguards,3,2,5,strength_dps,armor,,8,3,28452,12982,21,7,0.0,
200185,Warrior,Earthforged Warbracers,3,78,187,strength_dps,armor,,9,4,54830,41355,187,426,0.0,
200186,Warrior,Waistguard of the Eagle Spirit,3,13,16,tank,armor,,6,3,7932,5425,20,22,0.0,
200187,Warrior,Ironlord's Stormforged Traveling Cloak,2,79,188,strength_dps,back,,16,1,50974,36947,187,98,0.0,2
200188,Warrior,Forgotten Watch Treads,2,21,22,tank,armor,,8,3,25760,6573,23,32,0.0,
200189,Warrior,Fingerband of the Temple of Storms,2,14,17,tank,finger,,11,0,6011,5351,20,0,0.0,
200190,Warrior,Great Gauntlets of Crusader Oath,2,40,41,tank,armor,,10,4,27331,8139,44,104,0.0,
200191,Warrior,Ironlord's Windbound Helm,3,37,39,tank,armor,,1,3,15492,6686,33,89,0.0,
200192,Warrior,Wyrmhide Torc of the Scholomance,3,67,118,tank,neck,,2,0,43085,27495,115,0,0.0,
200193,Warrior,The Lightforged Mail,2,1,5,strength_dps,armor,,5,3,3057,6336,13,11,0.0,
200194,Warrior,Wildcaller's Lightforged Girdle,2,51,57,strength_dps,armor,,6,4,26335,10381,59,147,0.0,
200195,Warrior,Mist Doom Helm,2,57,63,strength_dps,armor,,1,4,28985,14858,58,263,0.0,
200196,Warrior,Northforged Warhelm of Frost Queen,3,55,62,strength_dps,armor,,1,4,30071,16514,63,287,0.0,
200197,Warrior,Blood Queen's Faithful Great Gauntlets,3,68,115,tank,armor,,10,4,42869,27798,115,386,0.0,
200198,Warrior,Insignia of Violet Eye,2,41,48,strength_dps,trinket,,12,0,29947,17774,48,0,0.0,
200199,Warrior,"Profane Legplates, Ancient Keeper's Oath",3,78,188,strength_dps,armor,,7,4,52999,41346,187,1302,0.0,4
200200,Warrior,Stonecarved Legguards of Shadow Crown,2,47,52,strength_dps,armor,,7,4,27430,10133,52,245,0.0,
200201,Warrior,Warband of the Silver Banner,2,12,19,strength_dps,finger,,11,0,24087,20821,20,0,0.0,
200202,Warrior,Wyrmforged Greaves of Frost King,2,23,29,tank,armor,,8,3,27037,15534,31,44,0.0,
200203,Warrior,"Ivory Gloves, Ravenkeeper's Oath",2,29,32,strength_dps,armor,,10,3,27019,15548,32,43,0.0,
200204,Warrior,Arcane Casque,2,2,3,strength_dps,armor,,1,3,13564,3536,1,5,0.0,
200205,Warrior,Lightbound Handguards of the Restless Dead,4,80,213,tank,armor,,10,4,55836,40806,213,888,0.0,
200206,Warrior,Hallowed Chestguard of Sacred Watch,2,22,23,tank,armor,,5,3,25769,2989,21,59,0.0,
200207,Warrior,Greatcloak of Fel Flame,2,43,46,tank,back,,16,1,27176,15643,49,18,0.0,
200208,Warrior,Anvilkeeper's Breastplate,3,55,59,strength_dps,armor,,5,4,30315,16433,63,350,0.0,
200209,Warrior,Grimdark War Leggings of Light Eternal,2,43,49,tank,armor,,7,4,26840,14953,49,221,0.0,
200210,Warrior,Dark Verse Breastplate,3,54,55,strength_dps,armor,,5,4,19893,10845,54,325,0.0,
200211,Warrior,Warbracers of the Drak Tharon,2,58,85,strength_dps,armor,,9,4,40768,24941,87,140,0.0,
200212,Warrior,"Gloves, Crypt Carver",2,7,14,tank,armor,,10,3,27000,15491,15,16,0.0,
200213,Warrior,Silent Keeper's Warhelm,2,69,121,tank,armor,,1,4,48246,25018,117,576,0.0,8
200214,Warrior,Eternal Woe Wrist Chains,2,3,5,strength_dps,armor,,9,3,27005,15495,15,3,0.0,
200215,Warrior,"Breastplate, Gray Chain",2,72,147,strength_dps,armor,,5,4,56370,38088,146,909,0.0,
200216,Warrior,Runemaster's Gladiatorial Battlehelm,3,73,152,tank,armor,,1,4,46205,32521,151,817,0.0,
200217,Warrior,War Mantle of the Grim Oath,2,31,37,strength_dps,armor,,3,3,25872,7459,38,61,0.0,
200218,Warrior,Waistchain of Silver Banner,2,9,15,strength_dps,armor,,6,3,26987,14725,17,18,0.0,
200219,Warrior,Azure Sorrow Legguards,2,31,35,tank,armor,,7,3,27070,15561,36,81,0.0,
200220,Warrior,Gray Guard Greaves,3,77,179,strength_dps,armor,,7,4,52996,41345,187,1133,0.0,4
200221,Warrior,"Legplates, Shattered Shadow",4,78,189,tank,armor,,7,4,53920,39293,200,1415,0.0,
200222,Warrior,The Sunbound Great Pauldrons,3,40,44,tank,armor,,3,4,27336,8144,45,162,0.0,
200223,Warrior,Ironlord's Warbelt of the Scarlet Bastion,3,46,49,tank,armor,,6,4,28640,10798,51,138,0.0,
200224,Warrior,Bloodmage's Shoulderguards,3,33,39,strength_dps,armor,,3,3,12986,6747,40,75,0.0,
200225,Warrior,Starcaller's Brilliant Armguards,2,37,39,tank,armor,,9,3,27111,15577,36,32,0.0,
200226,Warrior,Cryptkeeper's Rimebound Footguards,2,9,11,strength_dps,armor,,8,3,10434,6188,15,15,0.0,
200227,Warrior,"Coif, Lionheart Mail",2,26,30,tank,armor,,1,3,15517,6389,31,60,0.0,
200228,Warrior,Darkrider's Rootbound Handguards,2,7,8,strength_dps,armor,,10,3,26985,14726,18,9,0.0,
200229,Warrior,The Wintersteel Decapitator,2,52,54,strength_dps,2h_axe,2h_axe,17,1,23434,12775,56,0,40.758,
200230,Warrior,Wargrips of the Ebon Flame,4,80,200,strength_dps,armor,,10,4,54405,43743,200,830,0.0,2|2
200231,Warrior,Thorn Stone Girdle,2,48,50,tank,armor,,6,4,26819,14847,49,132,0.0,
200232,Warrior,Bloodbound Coif,3,24,28,strength_dps,armor,,1,3,15492,6686,33,63,0.0,
200233,Warrior,Silver Queen's Kingsguard Promise,3,80,187,strength_dps,finger,,11,0,51458,35683,183,0,0.0,4|4
200234,Warrior,Grim Branch Warbracers,2,72,148,tank,armor,,9,4,54071,41974,142,275,0.0,
200235,Warrior,Ashen Wrist Chains of the Frost Giant,2,17,18,tank,armor,,9,3,25851,2854,19,13,0.0,
200236,Warrior,Purified Ward,3,46,51,tank,shield,,14,6,21613,11631,52,1143,0.0,
200237,Warrior,"Starforged Handguards, Ironcaller's Oath",3,44,47,strength_dps,armor,,10,4,16124,7938,45,135,0.0,
200238,Warrior,Plaguecaller's Warplate,2,45,48,strength_dps,armor,,5,4,27363,10086,49,255,0.0,
200239,Warrior,"Battleplate Legguards, Green Clutch",4,44,48,strength_dps,armor,,7,4,21961,13074,46,255,0.0,
200240,Warrior,Greathelm of Grim Oath,2,47,52,strength_dps,armor,,1,4,27186,14849,53,196,0.0,
